"","s.HK_Aug","s.HK_Feb","s.HK_May","s.HK_Nov","s.LT_Aug","s.LT_Feb","s.LT_May","s.LT_Nov","s.SK_Aug","s.SK_Feb","s.SK_May","s.SK_Nov","index","stat","p.value"
"id247",1,0,0,0,1,1,1,0,0,0,0,0,408,0.728904877736797,0.001
"id248",0,1,0,0,0,0,0,0,0,1,0,0,31,0.685509864265034,0.001
"id249",0,0,0,0,0,0,0,0,0,1,0,0,10,0.501239941953195,0.002
"id25",0,0,0,0,1,0,0,0,0,0,0,0,5,0.549382666094523,0.003
"id250",0,0,0,0,0,0,0,1,0,0,0,0,8,0.649490073871277,0.001
"id251",1,0,0,0,1,0,0,0,0,0,0,0,16,0.881667095642089,0.001
"id252",0,0,0,0,1,1,1,0,0,0,0,0,243,0.685279786620055,0.001
"id253",0,0,0,0,0,1,0,0,0,1,0,0,61,0.831676256050815,0.001
"id254",1,0,0,1,1,0,0,1,0,1,0,1,1951,0.552865386770807,0.001
"id255",0,0,0,0,1,1,1,0,0,0,0,0,243,0.885189661031267,0.001
"id257",0,0,0,1,0,0,0,1,0,0,0,1,236,0.753822882721951,0.001
"id258",0,1,0,1,0,0,0,0,0,1,0,1,526,0.656470918527843,0.001
"id259",0,0,0,0,0,0,0,0,0,1,0,0,10,0.676900717825102,0.001
"id26",0,0,0,0,0,0,0,0,0,1,0,0,10,0.471134237706977,0.001
"id260",0,0,1,0,0,0,0,0,0,1,0,1,213,0.721784101139438,0.001
"id262",0,0,1,1,0,0,0,0,0,1,0,1,610,0.623827291423437,0.001
"id263",0,0,0,1,0,0,0,0,0,0,0,1,50,0.670990376465233,0.001
"id264",0,0,0,1,0,0,0,0,0,0,0,0,4,0.563856831567456,0.002
"id266",0,0,0,0,1,1,0,1,0,0,0,0,244,0.688026411738928,0.001
"id267",0,0,0,0,0,0,0,0,0,0,0,1,12,0.680960927633176,0.001
"id268",0,0,0,0,0,0,0,1,0,0,0,0,8,0.830788882805563,0.001
"id269",0,0,1,1,0,0,0,0,0,1,0,1,610,0.578251704364318,0.001
"id271",0,1,0,0,0,0,1,0,0,0,0,0,28,0.71217567026261,0.001
"id272",0,1,0,0,0,1,1,0,0,0,0,0,158,0.769802766351143,0.001
"id273",0,0,0,1,0,0,0,0,0,0,0,0,4,0.366098726714051,0.03
"id274",0,0,0,0,1,0,0,1,0,0,0,0,53,0.682942736823264,0.001
"id275",0,1,0,0,0,0,1,0,0,0,0,0,28,0.636882679521126,0.001
"id276",1,0,0,0,1,0,0,0,0,0,0,0,16,0.538749124521741,0.001
"id277",0,0,0,1,0,0,0,0,0,0,0,1,50,0.691659093331218,0.001
"id278",1,0,0,1,1,0,0,1,0,1,0,1,1951,0.69532776021025,0.001
"id279",1,0,0,0,1,0,0,1,0,0,0,0,108,0.806874545792915,0.001
"id280",0,0,0,0,0,0,0,1,0,0,0,0,8,0.715320647412948,0.001
"id281",1,0,0,0,1,0,0,0,0,0,0,0,16,0.534980622538662,0.001
"id282",1,0,0,0,1,0,0,0,0,0,0,0,16,0.583117464884295,0.001
"id283",1,0,0,0,1,0,0,0,0,0,0,0,16,0.581489342456564,0.001
"id284",1,0,0,0,0,0,0,0,0,1,0,0,21,0.706529420167009,0.001
"id285",1,0,0,0,1,1,0,0,0,1,0,0,411,0.69655406291275,0.001
"id287",0,0,0,0,0,1,0,1,0,0,0,0,59,0.720805796352156,0.001
"id288",1,0,0,0,1,1,1,0,0,0,0,0,408,0.653388447434598,0.001
"id289",0,1,1,1,0,0,0,1,0,1,0,1,2098,0.664434466346732,0.001
"id290",0,1,0,0,0,1,0,0,0,0,0,0,27,0.872964025978056,0.001
"id291",0,0,0,0,0,1,0,0,0,0,0,0,6,0.752172242866957,0.001
"id293",1,0,1,1,1,0,0,1,0,1,0,1,2791,0.657185539994065,0.001
"id294",1,0,0,1,1,0,0,0,0,1,0,1,1017,0.537987408423939,0.001
"id295",0,0,0,0,0,0,0,0,0,1,0,0,10,0.587269067185504,0.001
"id296",0,0,0,1,0,0,0,0,0,1,0,1,241,0.653799756539528,0.001
"id297",0,0,0,1,0,0,0,1,0,0,0,1,236,0.682048127128226,0.001
"id298",1,0,0,1,1,0,0,1,1,0,0,1,1949,0.746925572151128,0.001
"id299",1,1,1,0,0,0,1,1,0,1,0,0,1651,0.532699816447726,0.001
"id301",1,0,0,1,1,0,0,0,0,0,0,1,386,0.594003533928575,0.001
"id302",1,0,0,0,0,0,0,0,0,0,0,0,1,0.735146591499483,0.001
"id303",0,0,0,1,0,0,0,1,0,0,0,1,236,0.769596762953088,0.001
"id304",0,0,0,0,0,0,0,0,1,0,0,0,9,0.760624275989946,0.001
"id305",0,0,0,0,0,0,0,0,1,0,0,0,9,0.764740290401215,0.001
"id306",1,0,0,0,1,0,0,0,1,0,0,0,109,0.696601769636807,0.001
"id307",1,0,0,1,0,0,0,1,0,0,0,1,401,0.739401184801541,0.001
"id308",0,0,0,0,0,0,0,0,0,0,0,1,12,0.670887033980921,0.001
"id309",0,0,0,0,0,1,0,0,0,0,0,0,6,0.928805577945207,0.001
"id31",1,0,0,1,1,0,1,0,0,0,0,0,381,0.438133086584458,0.009
"id310",0,0,0,0,0,0,0,0,1,0,0,0,9,0.700067168430269,0.001
"id312",1,0,0,0,0,0,0,0,0,0,1,0,22,0.409838590040358,0.009
"id314",0,0,0,0,0,1,0,0,0,0,0,0,6,0.353576980760815,0.002
"id315",0,0,0,0,0,0,0,0,1,0,0,0,9,0.549158435468802,0.002
"id316",0,0,0,0,0,0,0,0,1,0,0,0,9,0.542937641696428,0.001
"id317",0,0,0,0,0,0,0,0,0,0,0,1,12,0.850439444690206,0.001
