Sample	Motu204	Motu214	Motu184	Motu182	Motu213	Motu181	Motu179	Motu178	Motu180	Motu175	Motu176	Motu177	Motu174	Motu215	Motu172	Motu171	Motu168	Motu169	Motu166	Motu167	Motu162	Motu163	Motu164	Motu165	Motu161	Motu160	Motu157	Motu159	Motu152	Motu158	Motu153	Motu151	Motu149	Motu148	Motu154	Motu144	Motu142	Motu147	Motu143	Motu140	Motu145	Motu138	Motu141	Motu146	Motu136	Motu131	Motu137	Motu134	Motu132	Motu133	Motu130	Motu128	Motu129	Motu126	Motu123	Motu127	Motu122	Motu135	Motu125	Motu121	Motu119	Motu118	Motu117	Motu114	Motu115	Motu113	Motu108	Motu112	Motu111	Motu107	Motu99	Motu104	Motu102	Motu109	Motu95	Motu96	Motu97	Motu98	Motu94	Motu91	Motu89	Motu90	Motu93	Motu84	Motu86	Motu85	Motu83	Motu82	Motu81	Motu79	Motu77	Motu78	Motu101	Motu73	Motu75	Motu74	Motu69	Motu80	Motu67	Motu70	Motu66	Motu63	Motu64	Motu60	Motu62	Motu61	Motu57	Motu59	Motu58	Motu54	Motu53	Motu65	Motu68	Motu49	Motu50	Motu48	Motu51	Motu44	Motu40	Motu39	Motu41	Motu106	Motu42	Motu43	Motu35	Motu36	Motu100	Motu34	Motu30	Motu31	Motu28	Motu29	Motu32	Motu76	Motu71	Motu26	Motu103	Motu25	Motu23	Motu52	Motu87	Motu22	Motu20	Motu18	Motu17	Motu15	Motu19	Motu14	Motu11	Motu10	Motu9	Motu16	Motu7	Motu8	Motu5	Motu21	Motu3	Motu1	Motu2
SKSha1Aug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	326	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	8	459	0	0	0	0	28	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	270	4	3	0	0	0	0	716	12	11	13	0	2	0	221	0	0	0	0	0	0	0	0	8	0	0	1	0	0	129	0	1	0	0	0	4	401	0	0	0	0	1	0	0	345	2	1783	423	0	0	0	178	41144	1372
SKSha1Feb	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	11	37	49	3	0	0	4	48	0	11508	0	0	0	0	0	8	0	0	12	0	25	0	86	0	0	0	0	4	0	0	20	7	0	0	0	83	0	2	0	15	0	0	0	1	0	7	0	98	0	17	0	0	0	49	28	0	0	0	250	1	0	294	0	47	11420	35	0	9	8	0	0	0	17	7	0	1	0	3	0	56	7	2	251	2	4	72	7	533	11	101	15	18819	22	2	1985	7	2135
SKSha1May	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	385	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	69	0	0	0	0	51	6410	0	236	0	0	817	0	0	36	1096	0	0	1	0	0	0	0	7	0	0	2	0	0	32	0	0	16	0	13	6	4	0	1337	0	4350	0	7	23889	51	0	0	0	2	0	568	8778
SKSha1Nov	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5873	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	14	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4797	1	0	0	0	0	0	9785	0	0	0	0	0	4	0	4	17635	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	9709	15	7
SKSha2Aug	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1595	0	0	0	0	1822	1	0	0	0	0	3	0	0	0	0	0	0	741	0	48	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	9	1909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	9	0	6	1486	0	0	0	12	40273	42
SKSha2Feb	0	1	0	0	3	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	3940	37	0	0	0	0	19	0	6	0	0	0	0	1	0	36	65	0	32	0	0	0	0	1	17	0	0	24	0	57	0	44	0	0	0	0	28	0	0	24	11	0	0	0	0	0	1	0	144	0	0	3	0	0	38	0	9797	0	27	0	0	0	115	0	0	0	2	466	0	0	2275	0	103	88	4231	0	64	32	0	0	1	122	13	0	0	47	1	0	507	0	40	210	11	16	247	255	721	537	1	73	6006	710	166	12128	12	4700
SKSha2May	1	6	8	0	1	6	0	0	0	0	0	515	0	0	634	0	0	0	0	0	0	0	4	754	0	0	1	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0	0	0	390	20	0	0	10	0	0	0	1	0	0	0	0	0	5	0	0	6	9	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	12	0	0	645	0	0	0	0	0	0	0	0	3	0	0	19	0	0	6	0	8	0	5	11	0	0	0	0	0	0	4	1	46	325	465	386	0	16	0	1	1200	2	0	61	0	0	56	0	6	0	0	106	16	12	5	12	0	0	0	34	7	0	24	32982	70	50	0	19	1837	235	84	3	4	1	15	0	7083
SKSha2Nov	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	12909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	0	1	0	0	16877	0	0	0	0	0	0	0	0	18367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	67	5	13
SKSha3Aug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1002	0	0	0	855	0	0	0	0	571	0	0	0	1	0	0	0	0	0	0	0	0	0	0	682	11	0	0	0	1	0	0	0	0	0	0	37	0	0	0	7	0	0	0	0	257	2	0	0	0	0	491	0	0	0	0	204	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	399	0	1	0	382	0	5	0	0	0	39980	2783
SKSha3Feb	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	23	0	0	0	0	9	0	0	5	0	0	0	0	0	0	2287	42	0	29	0	1	0	0	14	10	0	0	2549	0	34	0	15	0	0	0	0	2	0	0	3299	9	0	0	0	0	0	4	0	17	0	0	3	15	0	6	0	95	4	17	0	4	0	7792	1	5	0	0	186	0	0	3308	0	41	49	4487	1	13	9	6	5	3	18	3	0	0	1	4	0	451	6	32	86	4	1	198	218	155	3174	9	17	6690	339	792	9093	915	1330
SKSha3May	9	15	62	0	1600	29	0	0	0	0	0	64	3	15	37	0	0	58	0	0	0	0	0	77	0	0	34	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	112	0	0	0	12	3	131	0	68	0	0	0	2	5	0	0	0	35	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	40	0	2	57	0	0	0	0	0	0	0	0	34	0	0	175	0	0	2	0	0	0	7	0	0	22	0	0	0	0	33	0	384	37	36	196	0	21	0	0	111	100	0	134	0	17	344	0	42	0	0	482	145	2035	996	110	0	0	1	217	86	0	264	5301	1279	223	0	895	175	2059	5505	0	138	17	103	0	23863
SKSha3Nov	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	33	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	22	6	0	0	0	0	0	0	0	0	0	39	0	0	0	2	7110	0	3638	0	0	24	0	0	29	263	8563	28367
