ITS2_metazoa_luluotu_filt	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
ITS_Zotu12	0	0	23	0	0	0	235	0	0	939	0	0	0	0	1	0	0	5	0	0	539	1	793	30	0	39	4	0	0	302	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	573	0	0	0	25	0	3728	0	172	0	0	0	0	0	0	1489	0	0	0	218907	0	0	0	7994	0	0	2	57672	0	0	0	1092	0	0	0	131	0	0	0	326	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ITS_Zotu9	86	2455	2171	139	829	1868	89	70	276	3626	33	952	488	1450	161	1565	164	1401	414	401	6918	2611	35	3254	679	40277	349	817	2918	4812	1650	87	5487	7687	3845	25151	1061	113	88	4524	891	395	1219	250	1170	176	249	490	19489	176	303	200	44669	4981	923	310	7488	5112	27	2345	7352	1073	137	2403	1646	343	28714	845	123	120	15697	904	66	145	1565	1735	5560	175	1540	1210	318	312	141	3303	399	1278	1725	20135	418	826	3755	4447	41	926	2422	913	53	581	1242	835	108	97	710	100	153	663	64
ITS_Zotu11	1310	5188	1611	704	2427	1209	1491	972	278	3961	189	781	733	422	305	353	406	316	1404	480	231	866	917	2068	10634	1410	3212	5010	2027	1669	8660	156	989	1921	2085	30827	510	460	230	635	176	515	700	502	467	1297	775	713	687	124	155	301	1896	555	0	479	819	5586	17	368	843	411	93	4280	253	671	2641	100	1593	1700	6714	16733	6837	520	17453	7594	13217	793	18734	10999	5617	403	4631	4944	4768	874	10737	3877	1722	844	10653	3210	1003	742	18922	5765	1129	1021	975	13347	3012	5754	2129	1435	1367	1788	1663
ITS_Zotu8	831	37001	99	13800	1639	3955	13	497	58	1480	5155	1265	155	6029	47	550	136	2305	964	8706	560	11594	11	4212	2856	124	24836	1125	798	627	7244	221	1408	3846	2472	3104	2153	77326	19126	20711	6855	37780	8925	27736	15154	18225	28171	5268	2559	2911	1042	218	1372	2287	1021	448	2221	2214	3289	321	16	4862	677	23	55	95	41	43	1213	44	397	96	38	51	19	41	34	195	23	47	22	28	0	31	539	1	346	573	190	33	82	403	52	10	136	23	8	0	0	55	375	322	52	275	167	77	36
ITS_Zotu7	950	1187	18	198	24	475	14	9363	20	177	465	17	239	5927	106	17	212	494	656	40	2301	2039	9	2113	6959	10	8573	0	11985	894	6449	150	5835	1919	3423	3132	6670	21693	57045	9456	50514	44750	69777	42936	23108	6226	8998	71605	1525	1709	10207	96	1343	1770	34781	358	1376	4960	4068	61	1421	5233	613	1563	204	531	94	328	1758	697	311	34	26	3587	86	32	41	1643	45	37	53	41	78	844	3536	1558	56	205	305	232	62	209	35	478	77	47	13	51	4	26	574	363	97	32	1154	855	0
ITS_Zotu6	3	0	0	0	68	0	0	0	10	8	5	276	0	1	0	246	0	0	0	0	1671	11	0	4	9182	0	4	0	62	0	3	0	97	0	3	266	80	0	127	1354	375	0	3	0	92	0	313	2	120085	0	1	0	84980	0	1	0	496616	0	0	0	197	0	22	0	231	6	0	152	3	276	0	0	273	4	0	0	0	0	0	0	3	70	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	9	0	0	0	134	0	0	0	0	0
ITS_Zotu4	64	9	0	458	70	3	0	9	43	606	0	431	3	13	0	275	1	6	0	4	1933	17	4	6	12204	1	389	5	317	2	93	0	255	0	17	398	81	0	652	1455	364	0	29	0	209	3	41	1	142284	0	3	0	123873	4	2	0	563428	0	0	0	1090	0	48	0	725	35	6	235	12	369	0	0	373	6	0	13	3	7	0	1	2	87	0	0	5	4	0	231	0	0	16	2	0	0	0	2	0	34	2	3	0	191	0	5	0	0	0
ITS_Zotu5	2458	33929	1814	6469	2605	18579	2122	1074	1488	40945	2074	5996	18323	13676	9413	7024	26540	5938	49216	4855	104303	7462	15726	11992	3773	1251	4762	7741	38535	20461	14681	929	22933	90814	5098	9936	17907	727	2738	668	7612	938	1923	225	3551	12474	944	343	12559	10557	2691	13421	18813	2343	9187	586	3792	15530	779	335	3191	4418	12	1279	1564	259	3586	1363	1763	514	1088	4429	4487	1016	598	3444	571	547	1271	3369	1342	321	501	7873	2647	2963	2407	35590	2320	3809	2136	5255	1872	4416	2892	2202	4017	211	565	4736	3612	3498	187	2367	4410	12893	155
ITS_Zotu3	3032	29329	1183	2227	1698	33592	615	1142	1640	32606	1654	18310	27359	16838	3158	10650	28728	5748	29092	1548	165609	14389	2025	19804	16601	1473	4540	1730	72843	19049	4276	54815	131460	161269	6711	12621	38069	1607	3805	1436	16613	3412	2287	388	9038	8729	1105	793	16845	9211	2598	1067	32376	1853	25179	4232	8721	7234	47625	494	3810	5516	342	1633	4693	1160	2724	2352	3699	1304	1112	3846	4801	1862	680	1787	2269	702	988	1781	1234	407	221	7784	2467	6073	3851	7806	2637	7797	1544	3310	2127	5440	2956	1347	2138	500	518	1753	1442	4430	246	967	1435	16137	161
ITS_Zotu1	59925	39953	40153	42489	24312	2781	58259	20201	41845	26756	967	42931	12849	3687	7986	37059	9197	1519	2334	20764	28140	14301	40164	24876	3620	502	25743	18772	1701	11876	3042	19879	390	9455	12809	7199	262	2479	6170	10790	520	2809	16968	27710	3219	4308	7875	2237	6950	526	11659	20418	17069	10545	170	7919	12793	1617	1974	11302	3440	3924	683	21578	730	1422	28719	469	41093	120360	23003	58432	28556	31701	39794	101052	27709	183983	27883	70277	42687	71767	88152	88943	47392	58782	19838	123051	2670	25062	19689	90797	3335	17528	12133	139212	76453	127448	180775	148098	179353	127413	156040	60853	204948	53762	40749
