Cat_arco_metazoa_filt_luluotu	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
arco_Zotu270	0	11	10	0	0	48	17	0	0	4	0	0	7	10	0	0	100	12	2	0	0	20	1	0	34	241	0	0	68	154	1	0	18	0	1	0	163	0	1	0	0	3	6	0	0	0	1	0	4	8	23	0	0	0	0	0	5	19	0	0	60	17	0	127	7	0	10	124	0	53	3	32	6	11	0	15	69	14	0	24	42	11	50	595	11	439	0	43	1	116	1	7	28	985	8	9	0	16	0	7	0	9	0	0	2	40	0
arco_Zotu234	1	0	45	1	3	0	66	0	4	58	0	0	0	0	2	0	0	1	0	0	0	0	58	4	0	41	0	0	0	64	0	0	0	5	0	0	0	2	2	0	0	4	1	5	0	1	4	0	4	0	4	0	8	82	0	0	0	40	2	0	0	164	37	2	0	0	2	0	66	3	0	52	948	0	0	53	533	0	0	1	708	10	15	4	57	5	135	2	52	6	2	3	59	2	0	0	0	49	22	1	2	0	11	0	0	0	405
arco_Zotu238	747	6	59	0	46	0	1555	0	51	0	4	0	29	0	99	0	30	3	65	0	8	0	51	0	0	0	0	0	0	56	5	0	2	0	142	0	1	1	3	0	0	0	0	0	102	29	4	0	0	3	1	0	1	2	0	0	0	2	150	0	0	181	0	0	0	2	0	0	0	5	0	0	3	2	0	0	0	187	0	0	144	1	0	0	1	3	0	0	19	0	0	0	2	1	0	0	14	1	0	0	86	36	0	0	55	15	0
arco_Zotu230	1	7	1	0	1	37	0	0	0	7	8	0	0	103	11	0	0	5	9	38	0	5	4	0	1	1	0	0	4	7	8	0	0	5	1	5	0	79	5	13	0	131	11	0	5	100	0	0	1	6	0	0	0	2	0	0	0	7	0	0	52	6	0	0	0	0	0	0	2	2	110	0	2	0	0	0	3	59	0	0	0	6	7	1	1	231	0	0	4	3	0	129	16	5	7	0	13	6	12	0	7	7	2618	98	25	15	8
arco_Zotu224	0	22	28	2	7	0	25	0	14	0	0	1	14	3	13	8	0	0	0	1	0	0	1	5	94	31	61	0	26	19	0	0	54	0	8	303	10	2	14	0	1	1	16	0	7	47	16	3	29	2	10	2	142	1	0	4	70	21	3	0	90	57	87	9	179	4	284	19	36	137	35	0	36	3	86	13	449	4	22	5	299	19	0	0	26	18	54	9	499	26	256	0	52	7	36	2	0	26	19	0	0	6	0	20	0	4	0
arco_Zotu217	0	0	0	3	0	0	0	8	0	0	0	0	81	0	0	1	16	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	164	0	0	11	25	0	0	0	0	0	0	0	0	0	15	1	0	0	3	13	0	0	0	0	0	0	0	0	0	0	0	90	145	0	118	18	0	78	22	27	0	11	26	45	0	37	24	91	0	15	31	321	0	95	33	303	0	892	303	20	0	193	749	16	0	26	41	18	0	0	0	0	0	0	7
arco_Zotu208	0	4	0	37	0	0	0	36	0	0	8	50	0	0	0	128	0	0	0	106	0	9	0	106	0	0	241	1176	0	0	46	0	0	0	1	1567	0	0	0	11	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	317	0	0	0	1	0	14	0	2	1	0	0	0	0	0	0	0	0	0	0	6	114	0	0	1	139	3	0	0
arco_Zotu239	1	0	11	0	1	0	0	5	3	1	0	0	4	0	0	0	14	0	0	0	0	4	0	25	6	8	0	0	23	0	0	0	0	0	0	11	20	0	0	0	0	1	4	10	0	0	0	0	6	0	5	0	2	2	0	0	33	10	0	0	56	0	2	49	9	1	113	24	4	23	136	117	16	2	64	5	127	13	52	3	6	37	16	64	37	125	1788	39	3	21	60	17	11	113	74	13	0	16	253	1	0	18	217	0	10	10	235
arco_Zotu271	3	0	154	0	63	2	23	0	1	0	16	0	2	0	7	0	0	0	126	0	0	0	6	0	52	4	0	0	3	0	0	0	0	0	0	0	0	0	434	0	0	0	46	0	2	2	36	0	32	2	15	0	1	0	4	0	52	4	40	0	1	0	1009	0	1	22	0	0	0	1392	0	0	0	3	0	0	2	52	0	0	2	377	0	0	0	69	0	0	0	31	0	0	1	5	0	0	10	13	0	0	0	90	0	0	0	11	0
arco_Zotu358	2	18	7	12	0	15	0	4	2	2	0	2	15	1	16	5	19	1	10	2	0	2	1	0	0	1	4	0	8	1	0	0	34	4	2	38	10	5	1	0	0	2	4	0	0	43	1	10	0	22	4	1	2	3	0	0	47	3	3	0	99	2	0	120	213	0	233	178	46	5	135	96	70	1	162	74	67	2	89	97	53	2	17	41	43	23	240	65	342	66	437	29	184	28	302	63	5	0	50	36	2	4	27	5	4	9	51
