sampleonly	Region	Site	Season	Site2	Month	Sample	SxR
LTPC2Nov	LT	PC2	Nov	PC	11	LT_PC2_Nov	LT_Nov
LTPC3Nov	LT	PC3	Nov	PC	11	LT_PC3_Nov	LT_Nov
SKBlu1Nov	SK	Blu1	Nov	Blu	11	SK_Blu1_Nov	SK_Nov
SKBlu2Nov	SK	Blu2	Nov	Blu	11	SK_Blu2_Nov	SK_Nov
SKBlu3Nov	SK	Blu3	Nov	Blu	11	SK_Blu3_Nov	SK_Nov
SKLKW1Nov	SK	LKW1	Nov	LKW	11	SK_LKW1_Nov	SK_Nov
SKLKW2Nov	SK	LKW2	Nov	LKW	11	SK_LKW2_Nov	SK_Nov
SKLKW3Nov	SK	LKW3	Nov	LKW	11	SK_LKW3_Nov	SK_Nov
SKSha1Nov	SK	Sha1	Nov	Sha	11	SK_Sha1_Nov	SK_Nov
SKSha2Nov	SK	Sha2	Nov	Sha	11	SK_Sha2_Nov	SK_Nov
SKSha3Nov	SK	Sha3	Nov	Sha	11	SK_Sha3_Nov	SK_Nov
