NoCorrection	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
protist_Zotu26	443	24	19	73	598	0	309	312	578	10	309	292	1430	2	72	1592	950	11	49	724	398	43	44	277	696	26	421	494	360	11	902	0	336	440	390	233	315	82	412	684	471	133	633	262	226	175	665	183	432	635	720	1063	785	574	403	969	1003	59	495	1320	656	40	521	1086	483	884	1156	577	43	1391	30	929	0	45	284	587	15	332	181	532	2	296	214	209	18	242	391	427	8	301	315	124	3	343	376	503	9	953	61	809	0	858	16	871	10	1453	130
protist_Zotu23	318	73	77	320	399	153	605	193	495	85	435	469	1047	54	201	340	546	48	117	594	284	40	92	361	252	55	514	570	296	66	590	0	135	286	824	323	288	194	710	466	396	264	736	93	234	243	999	242	312	6	729	849	482	330	954	767	729	89	944	1	369	46	702	613	221	689	712	315	35	304	167	751	31	213	550	399	98	336	487	445	76	177	505	168	32	300	675	280	26	303	584	121	20	326	453	925	24	968	202	1207	36	656	259	1030	38	939	627
protist_Zotu33	1103	42	223	5	1090	20	507	107	1042	58	342	157	317	18	165	187	144	46	111	713	553	55	51	60	377	70	474	130	377	46	621	0	37	231	542	107	1053	91	546	317	1116	110	572	3	1252	84	1025	8	1077	4	732	283	1479	406	567	151	876	63	502	0	233	18	279	46	363	355	405	460	42	202	4	830	12	19	143	730	46	639	235	1106	27	372	301	277	5	150	257	91	10	120	303	105	5	110	91	545	12	85	38	460	3	171	7	330	30	313	16
protist_Zotu5	8194	2557	2245	3247	9487	2387	10630	4923	10591	2745	7259	5284	10298	1692	3350	2938	5247	1171	2536	7102	5109	1925	1513	3207	6204	1699	7079	6386	5389	1650	12428	0	2845	5466	10545	3214	16599	2014	15653	3915	14467	3782	11237	961	16305	2634	11627	930	10153	3086	16152	5466	12057	8061	13943	3771	12232	3669	15419	19	7480	268	8120	3725	9467	8132	8797	10732	1569	6471	87	8252	788	4091	5088	11139	1764	8893	7422	10622	1309	5029	6384	7067	479	3961	5589	4200	829	5142	5701	1479	629	3896	2696	8956	726	6221	1380	10744	467	5730	1860	7492	995	9107	2569
protist_Zotu81	278	40	27	44	274	30	529	195	318	22	238	180	220	9	100	147	200	15	87	373	227	26	35	62	271	26	226	419	238	54	471	1	58	261	279	113	537	78	512	188	430	216	279	12	528	116	309	14	363	68	392	289	415	420	327	155	469	96	576	0	190	42	220	115	332	260	495	272	35	271	0	267	14	37	118	435	39	298	259	308	37	199	192	318	13	155	186	118	20	292	296	15	4	134	147	300	22	158	11	610	6	152	19	250	22	226	36
protist_Zotu168	5	0	0	1	15	0	6	16	9	0	9	2	21	0	3	3	18	0	0	8	4	0	0	1	14	0	6	6	10	0	52	0	0	22	7	5	318	5	3	6	370	1	5	0	94	2	6	0	12	1	27	85	12	40	6	381	119	0	2	0	913	0	5	7	420	9	33	678	0	41	1	1008	0	0	453	463	0	11	273	486	0	11	274	133	0	7	273	99	0	5	49	0	0	4	42	9	0	17	1	7	0	12	0	2	1	20	0
protist_Zotu42	35	0	2	38	64	0	4	0	81	0	5	6	6	0	0	5	0	0	0	18	8	1	0	1	8	0	2	0	1	0	10	0	0	1	25	0	528	2	13	8	702	3	9	0	412	1	6	1	4	0	3	1644	15	3	15	100	467	0	6	0	879	0	5	0	1427	3	9	2272	0	0	5	2554	0	62	145	5410	0	6	346	7142	0	0	469	2835	0	4	424	1771	0	2	306	919	0	0	154	69	0	1	16	10	0	1	10	12	0	5	0
protist_Zotu679	2	1	316	8	2	0	21	1	0	0	16	8	7	1	0	1	3	0	3	2	2	0	1	0	1	1	5	9	0	1	1	0	0	0	4	4	4	1	5	4	24	2	4	0	2	2	0	0	2	16	0	6	0	5	5	4	9	2	3	0	4	0	5	20	0	0	1	7	0	2	3	13	3	38	0	9	3	1	0	21	1	0	6	2	0	3	6	2	0	1	0	3	0	1	0	2	0	7	0	4	0	7	0	1	0	5	0
protist_Zotu600	0	0	0	9	0	0	0	114	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	0	1	0	2	0	0	130	0	0	0	98	5	0	0	111	2	0	0	58	0	0	0	31	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
protist_Zotu19	19	2719	0	0	7	2435	39	73	14	2385	62	4	4	2547	670	2	4	2387	277	1	174	7254	86	1	0	4367	12	6	110	3046	256	0	527	971	10	0	4	47	15	1	2	99	60	0	3	176	4	12	83	0	260	0	43	275	11	1	2	2813	13	1	2	222	47	3	5	8	173	1	747	107	0	0	126	0	2	1	623	25	0	0	236	17	0	0	213	7	0	0	143	5	0	0	83	25	0	2	87	122	14	6	43	19	25	19	151	13	0
