Sample	allGfishSid
HKBea2Aug	id6
HKBea2Aug	id64
HKBea2Aug	id67
HKBea2Aug	id7
HKBea2Aug	id70
HKBea2Aug	id72
HKBea2Aug	id73
HKBea2Aug	id75
HKBea2Aug	id78
HKBea2Aug	id8
HKBea2Aug	id96
HKBea2Aug	id97
HKBea2Aug	id99
HKBea3Aug	id1
HKBea3Aug	id10
HKBea3Aug	id100
HKBea3Aug	id109
HKBea3Aug	id11
HKBea3Aug	id110
HKBea3Aug	id114
HKBea3Aug	id118
HKBea3Aug	id12
HKBea3Aug	id13
HKBea3Aug	id130
HKBea3Aug	id133
HKBea3Aug	id137
HKBea3Aug	id138
HKBea3Aug	id139
HKBea3Aug	id14
HKBea3Aug	id144
HKBea3Aug	id147
HKBea3Aug	id157
HKBea3Aug	id159
HKBea3Aug	id16
HKBea3Aug	id160
HKBea3Aug	id166
HKBea3Aug	id167
HKBea3Aug	id17
HKBea3Aug	id175
HKBea3Aug	id177
HKBea3Aug	id178
HKBea3Aug	id179
HKBea3Aug	id18
HKBea3Aug	id180
HKBea3Aug	id181
HKBea3Aug	id182
HKBea3Aug	id183
HKBea3Aug	id184
HKBea3Aug	id185
HKBea3Aug	id186
HKBea3Aug	id187
HKBea3Aug	id188
HKBea3Aug	id189
HKBea3Aug	id19
HKBea3Aug	id190
HKBea3Aug	id191
HKBea3Aug	id192
HKBea3Aug	id194
HKBea3Aug	id196
HKBea3Aug	id198
HKBea3Aug	id199
HKBea3Aug	id2
HKBea3Aug	id20
HKBea3Aug	id200
HKBea3Aug	id201
HKBea3Aug	id202
HKBea3Aug	id203
HKBea3Aug	id205
HKBea3Aug	id206
HKBea3Aug	id207
HKBea3Aug	id208
HKBea3Aug	id209
HKBea3Aug	id21
HKBea3Aug	id210
HKBea3Aug	id211
HKBea3Aug	id213
HKBea3Aug	id214
HKBea3Aug	id215
HKBea3Aug	id216
HKBea3Aug	id217
HKBea3Aug	id218
HKBea3Aug	id220
HKBea3Aug	id221
HKBea3Aug	id222
HKBea3Aug	id223
HKBea3Aug	id224
HKBea3Aug	id225
HKBea3Aug	id226
HKBea3Aug	id227
HKBea3Aug	id228
HKBea3Aug	id232
HKBea3Aug	id233
HKBea3Aug	id234
HKBea3Aug	id235
HKBea3Aug	id236
HKBea3Aug	id237
HKBea3Aug	id238
HKBea3Aug	id239
HKBea3Aug	id240
HKBea3Aug	id241
HKBea3Aug	id243
HKBea3Aug	id244
HKBea3Aug	id245
HKBea3Aug	id247
HKBea3Aug	id248
HKBea3Aug	id249
HKBea3Aug	id25
HKBea3Aug	id250
HKBea3Aug	id251
HKBea3Aug	id254
HKBea3Aug	id255
HKBea3Aug	id257
HKBea3Aug	id258
HKBea3Aug	id259
HKBea3Aug	id26
HKBea3Aug	id260
HKBea3Aug	id263
HKBea3Aug	id264
HKBea3Aug	id265
HKBea3Aug	id266
HKBea3Aug	id267
HKBea3Aug	id268
HKBea3Aug	id269
HKBea3Aug	id270
HKBea3Aug	id271
HKBea3Aug	id274
HKBea3Aug	id276
HKBea3Aug	id277
HKBea3Aug	id278
HKBea3Aug	id279
HKBea3Aug	id28
HKBea3Aug	id280
HKBea3Aug	id281
HKBea3Aug	id282
HKBea3Aug	id283
HKBea3Aug	id284
HKBea3Aug	id285
HKBea3Aug	id286
HKBea3Aug	id287
HKBea3Aug	id288
HKBea3Aug	id289
HKBea3Aug	id29
HKBea3Aug	id290
HKBea3Aug	id291
HKBea3Aug	id293
HKBea3Aug	id294
HKBea3Aug	id296
HKBea3Aug	id298
HKBea3Aug	id299
HKBea3Aug	id30
HKBea3Aug	id302
HKBea3Aug	id303
HKBea3Aug	id304
HKBea3Aug	id305
HKBea3Aug	id306
HKBea3Aug	id307
HKBea3Aug	id309
HKBea3Aug	id31
HKBea3Aug	id310
HKBea3Aug	id312
HKBea3Aug	id313
HKBea3Aug	id318
HKBea3Aug	id319
HKBea3Aug	id32
HKBea3Aug	id320
HKBea3Aug	id321
HKBea3Aug	id324
HKBea3Aug	id325
HKBea3Aug	id327
HKBea3Aug	id329
HKBea3Aug	id33
HKBea3Aug	id331
HKBea3Aug	id333
HKBea3Aug	id335
HKBea3Aug	id337
HKBea3Aug	id339
HKBea3Aug	id34
HKBea3Aug	id340
HKBea3Aug	id341
HKBea3Aug	id342
HKBea3Aug	id343
HKBea3Aug	id344
HKBea3Aug	id347
HKBea3Aug	id348
HKBea3Aug	id349
HKBea3Aug	id35
HKBea3Aug	id350
HKBea3Aug	id351
HKBea3Aug	id352
HKBea3Aug	id354
HKBea3Aug	id355
HKBea3Aug	id357
HKBea3Aug	id359
HKBea3Aug	id36
HKBea3Aug	id360
HKBea3Aug	id361
HKBea3Aug	id362
HKBea3Aug	id363
HKBea3Aug	id364
HKBea3Aug	id365
HKBea3Aug	id367
HKBea3Aug	id370
HKBea3Aug	id372
HKBea3Aug	id373
HKBea3Aug	id375
HKBea3Aug	id376
HKBea3Aug	id378
HKBea3Aug	id379
HKBea3Aug	id38
HKBea3Aug	id380
HKBea3Aug	id381
HKBea3Aug	id382
HKBea3Aug	id383
HKBea3Aug	id384
HKBea3Aug	id385
HKBea3Aug	id386
HKBea3Aug	id388
HKBea3Aug	id389
HKBea3Aug	id390
HKBea3Aug	id391
HKBea3Aug	id392
HKBea3Aug	id394
HKBea3Aug	id395
HKBea3Aug	id397
HKBea3Aug	id398
HKBea3Aug	id40
HKBea3Aug	id401
HKBea3Aug	id402
HKBea3Aug	id403
HKBea3Aug	id404
HKBea3Aug	id406
HKBea3Aug	id407
HKBea3Aug	id42
HKBea3Aug	id46
HKBea3Aug	id5
HKBea3Aug	id50
HKBea3Aug	id51
HKBea3Aug	id6
HKBea3Aug	id68
HKBea3Aug	id9
HKBea3Aug	id96
HKBea3Aug	id99
HKSta1Aug	id1
HKSta1Aug	id10
HKSta1Aug	id100
HKSta1Aug	id101
HKSta1Aug	id102
HKSta1Aug	id104
HKSta1Aug	id105
HKSta1Aug	id109
HKSta1Aug	id11
HKSta1Aug	id113
HKSta1Aug	id114
HKSta1Aug	id115
HKSta1Aug	id118
HKSta1Aug	id12
HKSta1Aug	id126
HKSta1Aug	id13
HKSta1Aug	id130
HKSta1Aug	id134
HKSta1Aug	id138
HKSta1Aug	id139
HKSta1Aug	id14
HKSta1Aug	id144
HKSta1Aug	id147
HKSta1Aug	id148
HKSta1Aug	id15
HKSta1Aug	id16
HKSta1Aug	id165
HKSta1Aug	id166
HKSta1Aug	id167
HKSta1Aug	id168
HKSta1Aug	id169
HKSta1Aug	id17
HKSta1Aug	id171
HKSta1Aug	id178
HKSta1Aug	id179
HKSta1Aug	id18
HKSta1Aug	id180
HKSta1Aug	id181
HKSta1Aug	id182
HKSta1Aug	id183
HKSta1Aug	id184
HKSta1Aug	id185
HKSta1Aug	id186
HKSta1Aug	id187
HKSta1Aug	id188
HKSta1Aug	id189
HKSta1Aug	id19
HKSta1Aug	id191
HKSta1Aug	id194
HKSta1Aug	id196
HKSta1Aug	id198
HKSta1Aug	id199
HKSta1Aug	id2
HKSta1Aug	id20
HKSta1Aug	id200
HKSta1Aug	id201
HKSta1Aug	id202
HKSta1Aug	id203
HKSta1Aug	id205
HKSta1Aug	id206
HKSta1Aug	id207
HKSta1Aug	id208
HKSta1Aug	id209
HKSta1Aug	id21
HKSta1Aug	id210
HKSta1Aug	id211
HKSta1Aug	id213
HKSta1Aug	id214
HKSta1Aug	id215
HKSta1Aug	id216
HKSta1Aug	id217
HKSta1Aug	id219
HKSta1Aug	id22
HKSta1Aug	id220
HKSta1Aug	id221
HKSta1Aug	id223
HKSta1Aug	id224
HKSta1Aug	id225
HKSta1Aug	id227
HKSta1Aug	id228
HKSta1Aug	id232
HKSta1Aug	id233
HKSta1Aug	id234
HKSta1Aug	id235
HKSta1Aug	id236
HKSta1Aug	id237
HKSta1Aug	id238
HKSta1Aug	id240
HKSta1Aug	id241
HKSta1Aug	id243
HKSta1Aug	id244
HKSta1Aug	id245
HKSta1Aug	id246
HKSta1Aug	id247
HKSta1Aug	id248
HKSta1Aug	id249
HKSta1Aug	id25
HKSta1Aug	id250
HKSta1Aug	id251
HKSta1Aug	id252
HKSta1Aug	id253
HKSta1Aug	id254
HKSta1Aug	id255
HKSta1Aug	id258
HKSta1Aug	id259
HKSta1Aug	id260
HKSta1Aug	id266
HKSta1Aug	id267
HKSta1Aug	id268
HKSta1Aug	id269
HKSta1Aug	id27
HKSta1Aug	id272
HKSta1Aug	id274
HKSta1Aug	id276
HKSta1Aug	id277
HKSta1Aug	id278
HKSta1Aug	id279
HKSta1Aug	id28
HKSta1Aug	id281
HKSta1Aug	id282
HKSta1Aug	id283
HKSta1Aug	id284
HKSta1Aug	id285
HKSta1Aug	id287
HKSta1Aug	id288
HKSta1Aug	id289
HKSta1Aug	id29
HKSta1Aug	id290
HKSta1Aug	id291
HKSta1Aug	id293
HKSta1Aug	id294
HKSta1Aug	id296
HKSta1Aug	id298
HKSta1Aug	id299
HKSta1Aug	id302
HKSta1Aug	id304
HKSta1Aug	id306
HKSta1Aug	id307
HKSta1Aug	id309
HKSta1Aug	id31
HKSta1Aug	id310
HKSta1Aug	id312
HKSta1Aug	id313
HKSta1Aug	id318
HKSta1Aug	id319
HKSta1Aug	id32
HKSta1Aug	id320
HKSta1Aug	id321
HKSta1Aug	id323
HKSta1Aug	id325
HKSta1Aug	id327
HKSta1Aug	id328
HKSta1Aug	id329
HKSta1Aug	id33
HKSta1Aug	id331
HKSta1Aug	id333
HKSta1Aug	id335
HKSta1Aug	id336
HKSta1Aug	id337
HKSta1Aug	id338
HKSta1Aug	id339
HKSta1Aug	id34
HKSta1Aug	id341
HKSta1Aug	id342
HKSta1Aug	id343
HKSta1Aug	id344
HKSta1Aug	id345
HKSta1Aug	id347
HKSta1Aug	id348
HKSta1Aug	id35
HKSta1Aug	id350
HKSta1Aug	id351
HKSta1Aug	id352
HKSta1Aug	id354
HKSta1Aug	id355
HKSta1Aug	id357
HKSta1Aug	id358
HKSta1Aug	id359
HKSta1Aug	id36
HKSta1Aug	id360
HKSta1Aug	id362
HKSta1Aug	id364
HKSta1Aug	id365
HKSta1Aug	id366
HKSta1Aug	id367
HKSta1Aug	id368
HKSta1Aug	id369
HKSta1Aug	id37
HKSta1Aug	id370
HKSta1Aug	id372
HKSta1Aug	id373
HKSta1Aug	id375
HKSta1Aug	id376
HKSta1Aug	id378
HKSta1Aug	id379
HKSta1Aug	id38
HKSta1Aug	id380
HKSta1Aug	id381
HKSta1Aug	id382
HKSta1Aug	id383
HKSta1Aug	id384
HKSta1Aug	id385
HKSta1Aug	id386
HKSta1Aug	id388
HKSta1Aug	id389
HKSta1Aug	id39
HKSta1Aug	id390
HKSta1Aug	id391
HKSta1Aug	id392
HKSta1Aug	id393
HKSta1Aug	id394
HKSta1Aug	id395
HKSta1Aug	id396
HKSta1Aug	id397
HKSta1Aug	id398
HKSta1Aug	id401
HKSta1Aug	id402
HKSta1Aug	id403
HKSta1Aug	id404
HKSta1Aug	id406
HKSta1Aug	id407
HKSta1Aug	id42
HKSta1Aug	id43
HKSta1Aug	id46
HKSta1Aug	id5
HKSta1Aug	id50
HKSta1Aug	id52
HKSta1Aug	id57
HKSta1Aug	id59
HKSta1Aug	id6
HKSta1Aug	id65
HKSta1Aug	id66
HKSta1Aug	id67
HKSta1Aug	id68
HKSta1Aug	id7
HKSta1Aug	id70
HKSta1Aug	id73
HKSta1Aug	id75
HKSta1Aug	id76
HKSta1Aug	id77
HKSta1Aug	id82
HKSta1Aug	id85
HKSta1Aug	id87
HKSta1Aug	id9
HKSta1Aug	id90
HKSta1Aug	id96
HKSta1Aug	id97
HKSta1Aug	id99
HKSta2Aug	id1
HKSta2Aug	id10
HKSta2Aug	id100
HKSta2Aug	id101
HKSta2Aug	id102
HKSta2Aug	id104
HKSta2Aug	id109
HKSta2Aug	id11
HKSta2Aug	id114
HKSta2Aug	id115
HKSta2Aug	id118
HKSta2Aug	id12
HKSta2Aug	id123
HKSta2Aug	id126
HKSta2Aug	id13
HKSta2Aug	id130
HKSta2Aug	id134
HKSta2Aug	id138
HKSta2Aug	id14
HKSta2Aug	id147
HKSta2Aug	id15
HKSta2Aug	id16
HKSta2Aug	id166
HKSta2Aug	id167
HKSta2Aug	id168
HKSta2Aug	id169
HKSta2Aug	id17
HKSta2Aug	id171
HKSta2Aug	id175
HKSta2Aug	id178
HKSta2Aug	id179
HKSta2Aug	id18
HKSta2Aug	id180
HKSta2Aug	id181
HKSta2Aug	id182
HKSta2Aug	id184
HKSta2Aug	id185
HKSta2Aug	id186
HKSta2Aug	id187
HKSta2Aug	id188
HKSta2Aug	id189
HKSta2Aug	id19
HKSta2Aug	id190
HKSta2Aug	id191
HKSta2Aug	id194
HKSta2Aug	id196
HKSta2Aug	id198
HKSta2Aug	id199
HKSta2Aug	id2
HKSta2Aug	id20
HKSta2Aug	id201
HKSta2Aug	id202
HKSta2Aug	id203
HKSta2Aug	id205
HKSta2Aug	id206
HKSta2Aug	id208
HKSta2Aug	id209
HKSta2Aug	id21
HKSta2Aug	id210
HKSta2Aug	id211
HKSta2Aug	id213
HKSta2Aug	id214
HKSta2Aug	id215
HKSta2Aug	id217
HKSta2Aug	id221
HKSta2Aug	id222
HKSta2Aug	id223
HKSta2Aug	id224
HKSta2Aug	id227
HKSta2Aug	id228
HKSta2Aug	id232
HKSta2Aug	id233
HKSta2Aug	id234
HKSta2Aug	id235
HKSta2Aug	id236
HKSta2Aug	id237
HKSta2Aug	id238
HKSta2Aug	id240
HKSta2Aug	id241
HKSta2Aug	id244
HKSta2Aug	id245
HKSta2Aug	id247
HKSta2Aug	id248
HKSta2Aug	id249
HKSta2Aug	id250
HKSta2Aug	id251
