Network	Connectance	Average_Degree	Average_Path_Length	Diameter	Edge_Connectivity	Clustering_Coefficient	Number_of_Clusters	Betweenness_Centralization	Degree_Centralization
HK_Nov_HKSW1Nov	0.0324324324324324	3.56756756756757	3.71619112277498	12.138	0	0.305194805194805	10	0.166768312866111	0.0948402948402948
HK_Nov_HKSW2Nov	0.0492957746478873	3.5	3.07492142188961	6.6294	0	0.542608695652174	15	0.170798349674125	0.0915492957746479
HK_Nov_HKSW3Nov	0.0316462798788015	4.2089552238806	3.64385365394487	11.8692	0	0.382276843467012	8	0.0963372346336335	0.0886544720008978
LT_Aug_LTCC1Aug	0.035957696827262	6.61621621621622	3.54405057127923	10.9213	0	0.428839654524972	9	0.0796576117615758	0.143390129259694
LT_Aug_LTCC2Aug	0.0379610232971497	6.71910112359551	3.35850930524203	10.1089	0	0.428080448065173	11	0.0746600737687104	0.154129372183076
LT_Aug_LTCC3Aug	0.0337372297457828	6.17391304347826	3.37938184203842	10.1089	0	0.419793755370954	13	0.0687905486578103	0.152055119980993
LT_Aug_LTCMW1Aug	0.0334722408925931	5.75722543352601	3.39577399011914	10.1378	0	0.415527610716238	15	0.0987839907181	0.135132410270198
LT_Aug_LTCMW2Aug	0.0349774646099156	6.19101123595506	3.31163692702603	9.3285	0	0.40958904109589	15	0.08733114572815	0.151463213356186
LT_Aug_LTCMW3Aug	0.0360397116823065	6.16279069767442	3.55183781113803	10.8522	0	0.431821629000455	14	0.110083507415844	0.139398884808922
LT_Aug_LTPC1Aug	0.0346111719605696	5.71084337349398	3.91183513342474	12.22	0	0.42243026366068	13	0.158609962701691	0.1350857977364
LT_Aug_LTPC2Aug	0.0348645817746521	5.68292682926829	3.50286060640473	10.1427	0	0.420911012877186	16	0.151590875693474	0.136914559329642
LT_Aug_LTPC3Aug	0.0343167701863354	5.49068322981366	3.9164360565759	11.8741	0	0.421855146124524	11	0.1277530360176	0.134433229813665
LT_Feb_LTCC1Feb	0.0200541338582677	2.546875	5.10043951590206	15.0415	0	0.328600405679513	17	0.145488169550346	0.0508120078740157
LT_Feb_LTCC2Feb	0.0209998645170031	2.54098360655738	5.17253306997745	15.0492	0	0.31304347826087	15	0.157433939739452	0.0533803007722531
LT_Feb_LTCC3Feb	0.0203224495325837	2.45901639344262	4.36538939597315	11.6412	0	0.30989010989011	19	0.105841724748903	0.0540577157566725
LT_Feb_LTCMW1Feb	0.02098085496984	2.58064516129032	4.86589460966543	14.9333	0	0.330612244897959	17	0.139552882988192	0.0521898767374771
LT_Feb_LTCMW2Feb	0.0194394752534287	2.50769230769231	4.84324224328595	15.0492	0	0.311440677966102	16	0.125363311122505	0.0503279666070364
LT_Feb_LTCMW3Feb	0.0207916833266693	2.53658536585366	4.11069150871873	10.7311	0	0.341201716738197	17	0.102128707020564	0.0529788084766094
LT_Feb_LTPC1Feb	0.0202275600505689	2.26548672566372	4.89245188284519	15.0492	0	0.311320754716981	18	0.120694462798257	0.060129582806574
LT_Feb_LTPC3Feb	0.019187675070028	2.28333333333333	3.92125664974619	9.8441	0	0.330708661417323	24	0.110292613115477	0.0564425770308123
LT_May_LTCC1May	0.0257858901926699	3.01694915254237	5.0280481328546	15.6057	0	0.371335504885993	8	0.34313067496337	0.0425901781833985
LT_May_LTCC2May	0.0286357786357786	3.17857142857143	4.4538777800659	12.1051	0	0.355932203389831	9	0.213468021453761	0.0614543114543115
LT_May_LTCC3May	0.0263835263835264	2.92857142857143	4.39341584527223	11.9186	0	0.368896925858951	10	0.174125476828179	0.0456885456885457
LT_May_LTCMW1May	0.0281531531531532	3.125	4.54428000858002	12.7114	0	0.339285714285714	10	0.193177807179831	0.0529279279279279
LT_May_LTCMW2May	0.0284117373078714	3.21052631578947	4.46729196740396	12.7104	0	0.372031662269129	10	0.225737857778416	0.0689333954354914
LT_May_LTCMW3May	0.0271548436308162	3.09565217391304	4.35106158913135	11.9186	0	0.34070796460177	10	0.188594960383625	0.0517925247902365
LT_May_LTPC1May	0.0253066294053718	2.85964912280702	4.67116697761193	14.8129	0	0.370722433460076	10	0.155221194320002	0.0454898307716193
LT_May_LTPC2May	0.0259370314842579	2.98275862068966	4.49987141119223	12.1051	0	0.36431784107946	13	0.231682764988506	0.0610194902548726
LT_May_LTPC3May	0.0239495798319328	2.85	5.09212856900358	13.5032	0	0.31758034026465	7	0.309165740074694	0.0432773109243697
LT_Nov_LTCC1Nov	0.0326836581709145	3.75862068965517	4.8693862989324	15.8228	0	0.411070780399274	9	0.24974886954852	0.0977511244377811
