#OTU ID	HKBea1May	HKBea2May	HKBea3May	HKSW1May	HKSW2May	HKSW3May	HKSta1May	HKSta2May	HKSta3May
id398	2.857142857	7.142857143	0	12.85714286	0	1.428571429	24.28571429	18.57142857	34.28571428
id399	0	0	0	0	1.428571429	8.571428571	17.14285714	8.571428571	7.142857143
id4	0	0	15	0	0	0	0	0	0
id40	0	0	0	0	0	0	1	0	0
id400	0	0	0	0	0	0	0	0	0
id401	1028.333333	840	1093.333333	285	181.6666667	261.6666667	206.6666667	170	118.3333333
id402	53.86503067	28.34355828	31.22699387	5.030674847	1.042944785	1.042944785	1.165644172	1.717791411	0.920245399
id403	15.71428571	2.857142857	0	0	0	0	4.285714286	0	0
id404	0	0	2.857142857	0	0	0	0	1.428571429	8.571428571
id405	21.42857143	0	0	0	0	0	1.428571429	0	0
id406	1280	0	5.714285714	1.428571429	0	0	1.428571429	1.428571429	1.428571429
id407	4205.714286	134.2857143	74.28571428	214.2857143	154.2857143	221.4285715	52.85714286	27.14285714	71.42857143
id41	0	0	0	0	0	0	0	0	0
id42	14509	81	15	0	4534	24	57	535	495
id43	15	12	0	0	1	0	8	23	1793
id44	0	0	0	0	0	0	0	0	0
id45	0	0	0	0	0	0	0	0	16
id46	40	12865	0	0	22	4	1731	83	32
id47	0	0	0	0	0	0	0	0	0
id48	0	0	0	0	0	0	0	0	0
id49	0	0	0	0	0	0	0	0	0
id5	0	0	1	0	0	12	0	0	0
id50	2	53	0	0	5	0	7	15	5
id51	5468	15	0	0	0	0	7	14	3
id52	19	39	4	0	1	0	25	57	24
id53	228	135	0	0	0	0	69	100	68
id54	0	0	0	0	0	0	0	0	0
id55	0	0	0	0	0	0	0	0	0
id56	0	0	0	0	0	0	0	0	0
id57	0	0	535	0	67	6376	33	0	0
id58	0	0	0	0	0	0	0	0	0
id59	0	0	3	0	0	0	0	0	0
id6	10705	11394	214	3393	324	957	4975	515	6733
id60	121	179	0	0	1	24	13065	177	4701
id61	16	30	0	0	0	0	28	23	17
id62	0	0	0	0	0	0	0	0	0
id63	0	0	0	0	5	9	18	0	0
id64	2580	12	0	0	0	0	3	11	5
id65	0	1	0	0	0	0	0	0	0
id66	50	30	0	0	0	0	915	23	26
id67	70	198	0	0	0	0	0	66	0
id68	0	19	0	0	0	0	0	0	6
id69	0	0	0	0	0	0	0	0	0
id7	0	0	0	1	3	0	0	0	0
id70	163	6972	33	47538	684	5244	1281	295	145
id71	3	4	0	0	56	40	174	6	17
id72	496	82	15	2	28	9	713	734	495
id73	150	1	0	0	0	0	10	62	84
id74	0	0	0	1	0	1	0	0	0
id75	1369	7356	630	42	5973	3773	3797	3927	462
id76	0	0	0	0	0	0	0	0	0
id77	0	0	0	0	0	0	0	0	0
id78	4	9	0	0	1	0	8	18	2
id79	0	0	0	0	0	0	0	4	0
id8	23	3	213	5	66	0	3	6	0
id80	0	0	0	0	0	0	0	0	0
id81	0	0	5	0	11	1134	0	1	0
id82	0	0	0	0	0	0	0	0	0
id83	0	0	0	0	0	0	0	0	0
id84	0	0	7	0	7	1740	2	0	0
id85	0	0	0	0	0	0	0	0	0
id86	0	0	0	0	0	0	0	0	0
id87	0	0	0	0	0	0	0	0	0
id88	0	0	0	0	0	0	0	0	0
id89	0	0	0	0	0	0	0	0	15
id9	2	44	17	3	0	0	0	52	3
id90	0	0	19	0	2901	1541	0	0	0
id91	0	0	0	0	0	0	0	0	0
id92	0	0	0	0	0	0	0	0	0
id93	0	0	0	0	0	0	0	0	0
id94	0	0	0	0	0	0	0	0	0
id95	0	0	0	0	0	0	4	0	0
id96	1	6	1778	426	172	112	0	205	0
id97	7	0	0	0	0	0	0	0	0
id98	0	0	0	0	0	0	0	0	0
id99	0	10	0	0	2	0	0	0	0
