#OTU ID	SKBlu1Aug	SKBlu2Aug	SKBlu3Aug	SKLKW1Aug	SKLKW2Aug	SKLKW3Aug	SKSha1Aug	SKSha2Aug	SKSha3Aug
id342	173.9673913	93.91304348	86.14130434	103.9130435	74.61956522	8.641304348	36.90217391	37.39130435	26.68478261
id343	599.4021739	722.2826087	707.2282609	436.902174	278.0434783	100.2173913	610.2717391	751.6304348	542.0108695
id344	138.8043478	294.0217391	388.1521739	154.076087	96.25	49.94565217	3.75	0.543478261	0.652173913
id345	0.706521739	0.489130435	1.141304348	0.108695652	0.108695652	0.163043478	0.108695652	0.217391304	0.054347826
id346	0.108695652	0	0.27173913	0.108695652	0	0	0	0	0
id347	0	0.054347826	0	0	0	0	0.108695652	0.326086957	1.032608696
id348	9.836956522	4.891304348	8.369565218	1.793478261	7.010869565	0	2.065217391	3.206521739	2.77173913
id349	0	0.108695652	0.326086957	0	0	0	0	0.217391304	7.826086957
id35	0	0	0	1	0	0	198	0	0
id350	29.45652174	22.9347826	21.08695652	12.55434783	10.59782609	13.85869565	24.02173913	19.34782609	36.46739131
id351	0.27173913	0.760869565	0.434782609	0.054347826	0.380434783	0.27173913	0.27173913	0.652173913	0.97826087
id352	3.967391304	2.663043478	3.641304348	2.717391304	1.032608696	4.02173913	1.52173913	3.315217391	4.293478261
id353	0	0.108695652	0.054347826	1.25	1.413043478	0.054347826	0	0	0
id354	26.30434783	35.32608696	28.42391304	298.2065217	249.2391304	503.6956522	123.9673913	104.5108696	96.0326087
id355	22.01086957	17.66304348	14.07608696	25.21739131	18.42391304	75.54347826	24.94565217	20.65217391	47.28260869
id356	0	0.054347826	0	0	0	0.489130435	0.108695652	0.163043478	0
id357	21.19565217	27.88043478	11.68478261	21.25	26.14130435	13.80434783	51.30434782	25.10869565	45.27173913
id358	0.760869565	0.163043478	0.27173913	1.195652174	1.086956522	2.663043478	0.054347826	0.054347826	1.086956522
id359	2.010869565	2.77173913	1.956521737	14.61956522	21.14130435	90.38043479	2.282608696	2.06521739	6.739130434
id36	0	146	0	1	16	2	1	4	0
id360	64.07608696	73.26086957	33.53260869	29.94565218	31.57608696	29.7826087	102.7717391	82.7173913	150.7608696
id361	0.163043478	0.163043478	0.27173913	0	0	0.163043478	0.163043478	0.108695652	0.27173913
id362	0.054347826	0	0.054347826	0.923913043	1.576086957	0.108695652	0	0	0
id363	24.72826087	39.83695652	16.79347827	9.72826087	3.260869565	2.173913043	10.43478261	7.119565217	12.88043478
id364	6.304347827	3.75	1.793478261	6.95652174	9.130434783	1.630434782	1.576086957	0.70652174	1.902173913
id365	1.195652174	2.010869564	0.543478261	1.032608695	0.652173912	0.597826087	6.358695652	6.847826087	21.14130435
id366	0.923913043	1.032608696	0.326086957	3.913043478	2.663043478	3.586956522	0.869565217	0.815217391	0.054347826
id367	1.358695652	0.434782609	0.54347826	2.065217392	5	45.54347826	3.097826087	1.358695652	4.402173913
id368	0.326086957	1.467391304	0.597826087	1.086956522	0	0.543478261	2.173913043	1.141304348	1.304347826
id369	0	0	0	0	0	0	0	0.217391304	0.108695652
id37	64	3	4	23	42	170	0	1	39
id370	21.52173913	28.20652174	13.36956522	14.13043478	7.282608696	59.7826087	69.6195652	44.89130435	78.91304348
id371	0	0	0	0.054347826	0	0.054347826	0	0	0.054347826
id372	1.304347826	0.217391304	0.543478261	1.684782609	1.739130435	0.978260869	4.510869566	1.684782609	11.41304348
id373	0.217391304	0	0.217391304	0	0	0	0.217391304	0	0.217391304
id374	0	0.108695652	0.054347826	0	0.163043478	0.108695652	0.597826087	0.760869565	0.217391304
id375	3.315217391	2.663043478	0.978260869	0.054347826	0.978260869	14.34782609	7.228260869	4.782608696	13.91304348
id376	1.304347826	1.304347826	0.869565217	1.684782609	1.25	6.739130435	0.380434782	0.163043478	0.054347826
id377	0.054347826	0.97826087	0.108695652	1.467391304	0.597826087	0	0	0.27173913	0.217391304
id378	25	23.85869565	17.06521739	23.36956521	7.880434784	47.98913044	13.36956522	13.69530434	10.59782609
id379	2.4	3.6	3.6	11.6	12	0	9.6	13.6	22.4
id38	117	7825	4492	2729	6554	15841	1372	42	2783
id380	2	11.6	3.6	84.4	18	0	0	0	0
id381	3.6	7.2	10	2.8	6.4	0	12	3.2	19.2
id382	12.4	16	13.2	17.2	14.8	0	8.8	4.8	29.2
id383	20	30.8	15.2	0.8	0.4	0	24.4	20	84.4
id384	15.2	9.2	14.4	76.8	71.6	2.4	3.2	4.4	14.4
id385	0.4	1.6	2.4	0.4	2.4	0	1.6	2	1.2
id386	1.6	6.8	0	26.4	20.8	0	1.6	0.8	0.4
id387	0	0	0	0	0.4	0	0	0	0
id388	0	0	0	0	0	0	0	0	0
id389	20.4	23.6	14.4	14	23.6	0.4	2	14	22
id39	0	0	0	0	0	0	0	0	0
id390	0	0	0	0	0.4	0	0	0	0.4
id391	9.6	14	11.6	24.8	29.2	7.6	2.8	8	4.4
id392	15.6	18.8	10.4	31.2	24.4	25.2	0.8	8.8	20.4
id393	40	22.85714286	8.571428571	144.2857143	160	0	18.57142857	11.42857143	1.428571429
id394	164.2857143	237.1428571	118.5714286	11.42857143	14.28571429	131.4285714	1035.714286	1414.285714	930
id395	357.1428571	512.8571429	282.8571429	451.4285714	515.7142857	214.2857143	1675.714286	1361.428571	2697.142857
id396	0	54.28571429	18.57142857	4.285714286	1.428571429	0	11.42857143	1.428571429	1.428571429
id397	161.4285714	127.1428571	44.28571429	18.57142857	2.857142858	4.285714286	275.7142857	381.4285714	227.1428572
id398	7.142857143	14.28571429	2.857142858	2.857142857	0	4.285714286	27.14285714	14.28571429	40
id399	0	0	0	2.857142857	0	0	2.857142857	0	2.857142857
id4	6	26	0	0	0	0	46	0	0
id40	0	0	0	0	0	0	0	0	0
id400	2.857142857	1.428571429	4.285714286	11.42857143	18.57142857	2.857142857	4.285714286	8.571428571	18.57142857
id401	383.3333334	735	250	421.6666666	591.6666666	803.3333333	301.6666667	535	543.3333334
id402	0	0	0	2.63803681	1.963190184	0.797546012	0	0	0.122699387
id403	0	20	11.42857143	7.142857143	12.85714286	0	15.71428571	0	2.857142857
id404	0	0	0	0	1.428571429	0	0	0	32.85714286
id405	0	0	0	0	0	0	2.857142857	1.428571429	0
id406	11.42857143	77.14285714	2.857142857	4.285714286	2.857142857	121.4285714	4.285714287	5.714285715	10
id407	31.42857143	420	18.57142857	570	927.1428572	125.7142857	244.2857143	158.5714286	230
id41	3	8	0	7	2260	6	0	0	0
id42	5	1667	0	16	10	16	0	0	399
id43	0	0	0	0	0	0	0	0	0
id44	0	0	0	1	0	0	270	0	0
id45	0	0	0	0	0	0	0	0	0
id46	0	0	2	0	0	0	401	1	0
id47	0	26	0	0	0	1	0	0	0
id48	0	0	0	0	0	0	0	0	0
id49	0	0	0	0	0	0	0	0	0
id5	58	36	170	4	58	1	0	1	2
id50	0	0	0	0	0	0	0	0	0
id51	3	149	0	1	1901	4	0	0	0
id52	29	1587	0	8	10	17	0	0	0
id53	0	0	0	0	0	0	0	0	0
id54	42	0	0	0	0	0	0	0	0
id55	0	0	0	0	0	0	0	0	0
id56	0	13	0	0	0	0	0	0	682
id57	0	0	0	0	0	0	0	0	0
id58	0	0	0	0	0	0	0	0	0
id59	0	7	0	0	0	0	0	0	0
id6	6950	9179	6435	5386	7755	11500	13170	12861	13859
id60	0	0	0	0	0	0	0	0	0
id61	0	0	0	0	0	0	0	0	0
id62	4	1010	0	7	7	9	0	0	855
id63	0	0	0	0	0	0	0	0	0
id64	0	0	0	0	0	0	0	0	0
id65	0	0	0	0	0	0	0	0	0
id66	0	0	0	0	0	0	3	0	37
id67	0	0	0	0	0	0	0	0	0
id68	4241	19	260	6	18	8	0	48	0
id69	0	0	0	0	0	3	123	0	0
id7	0	1	0	1	0	0	0	0	0
id70	0	0	0	0	0	0	0	0	0
id71	0	0	0	0	0	0	0	0	0
id72	0	0	0	0	0	0	0	0	5
id73	0	0	0	0	0	0	1	0	0
id74	0	0	0	0	0	0	0	0	0
id75	34	3311	6337	39	1713	45	178	12	0
id76	7	25	1398	5	730	7	11	1	0
id77	0	0	4410	0	0	0	716	9	0
id78	34838	10084	19982	37107	22251	26105	41144	40273	39980
id79	0	0	0	0	0	0	0	0	0
id8	0	0	0	0	0	0	0	0	0
id80	0	0	1	0	0	0	0	310	0
id81	0	0	0	0	0	0	4	1	0
id82	0	0	0	0	0	0	0	0	0
id83	0	0	0	0	0	0	0	0	0
id84	0	0	0	0	0	0	0	0	0
id85	0	0	0	0	0	0	0	0	0
id86	0	0	0	0	0	0	0	0	0
id87	0	0	0	0	0	0	0	0	0
id88	0	0	0	0	0	0	0	0	0
id89	0	0	0	0	0	0	0	0	0
id9	41	7	5	7	3	1	4	2	10
id90	0	0	0	0	0	0	2	0	2
id91	0	0	0	0	0	0	0	0	0
id92	0	0	0	0	0	0	0	0	0
id93	30	2716	0	28	29	51	0	0	0
id94	0	0	0	0	0	0	0	0	0
id95	0	0	0	0	0	0	0	0	0
id96	20	932	201	313	15	17	0	0	0
id97	11	786	1543	7	12	11	4	5	0
id98	0	0	0	0	0	0	326	0	0
id99	0	0	0	0	0	0	0	0	0
