#OTU ID	SKBlu1Feb	SKBlu2Feb	SKBlu3Feb	SKLKW1Feb	SKLKW2Feb	SKLKW3Feb	SKSha1Feb	SKSha2Feb	SKSha3Feb
id265	0	5.874125874	15.66433566	0	0	0	0	0	0
id266	8.626198083	8.945686901	13.73801917	16.29392971	29.07348243	18.53035144	6.709265176	7.348242812	11.50159744
id267	1.597444089	4.47284345	1.277955272	0.958466454	0	0	1.597444089	0.958466454	0
id268	0	0	0	0	0	4.47284345	0	0	0
id269	5.111821086	11.18210863	5.431309904	0	5.431309904	3.194888179	2.555910543	4.153354633	5.431309904
id27	2	65	0	49	13	8	97	97	62
id270	2	2	0	1	4.5	2.5	0	0	0
id271	0	0	2.013422819	0	0	2.237136465	0	0.67114094	0.223713647
id272	20	14	6.5	29.25	1.75	0	10.75	17.25	14.75
id273	0	2.476190476	7.238095238	0	0	0	0	0	0
id274	0	0	0	0	0	0	0	0	0
id275	0	0	0	0	0	0	0	0	0
id276	6.548175866	5.144995323	6.361085127	2.245088869	1.590271282	0.841908326	0.280636109	1.028999065	0
id277	3.773584906	10.18867925	6.037735849	1.886792453	4.905660377	7.169811321	0	0	0
id278	9.811320755	11.32075472	12.83018868	7.547169811	12.83018868	18.11320755	0	0.377358491	0
id279	0	3.018867925	0	7.169811321	4.905660377	0	4.150943396	6.79245283	7.169811321
id28	0	91	1	4	1	0	0	14	2
id280	0	0	0	0	0	0	0	0	0
id281	10.5	4.5	4.5	0	0	0	0	0	7
id282	10	2	0	8.5	13.5	0	14	13	5
id283	217	103.5	54.5	170.5	225.5	87.5	164.5	424	312
id284	7.169811321	7.169811321	3.018867924	7.924528302	10.94339623	10.94339623	10.56603774	24.90566038	13.20754717
id285	18.86792453	9.433962265	15.47169811	11.32075472	10.18867925	5.283018868	21.13207547	21.50943396	24.90566037
id286	0	34.03908795	77.36156352	0	0	0	0	0	0
id287	5.18372591	3.169593148	1.284796574	12.28051392	0.642398287	0	3.4	6.113062099	10.32719486
id288	3.035714286	3.035714286	0.892857143	0.892857143	0	1.607142857	1.428571429	1.071428571	1.785714286
id289	20.75471698	28.30188679	23.77358491	10.56603774	16.60377359	16.98113208	12.45283019	23.01886792	20.75471698
id29	1	37	1	12	25	1	4	391	41
id290	81.50943396	56.2264151	65.66037736	93.20754717	33.58490566	22.26415094	41.50943397	60.75471698	66.03773585
id291	25.5	6.5	12	31.5	9.5	3	20.5	66.5	56.5
id292	0	1.440329218	0.205761317	0	0	0	0	0	0
id293	121.509434	92.83018869	77.35849057	120.3773585	154.7169811	143.0188679	92.83018869	165.6603774	135.8490566
id294	63.39622642	50.18867925	66.03773585	108.3018868	150.1886792	166.7924528	13.20754717	12.45283019	32.83018868
id295	106.2947977	65	91	27	48	51	8	3	3
id296	14.71698114	21.88679246	24.1509434	7.169811321	13.20754717	8.301886792	3.396226415	4.905660377	3.773584906
id297	0	0	2.264150943	2.641509434	0	6.79245283	0	0	0
id298	41	15	20	6	7	19	13	10	3
id299	678.3888889	2578.222222	2960.944445	740.9722222	1039.583333	814.9444444	179.1666666	25	210.4166666
id3	0	0	0	0	0	0	0	0	0
id30	0	0	0	0	0	0	0	0	0
id300	0	0	1.333333333	0	0	0	0	0	0
id301	0	2	0	0	2	8.666666667	0	0.666666667	0
id302	4	4.5	2.833333333	2.666666667	3.333333333	2.666666667	1	5.666666666	0.333333333
id303	8.333333333	1.666666667	15.16666667	5.833333333	5.833333333	0	0	0	0
id304	15.5	12.5	24	7	1.5	2.5	76.5	316	260
id305	0	0	0	0	0	0	0	0	0
id306	36.8	48	44	24	12	16	25.6	92.8	60
id307	13.7037037	15.92592592	8.148148148	7.037037037	19.25925926	24.44444444	0	2.962962963	0
id308	15.83333333	10.83333333	2.5	10.83333333	19.16666667	17.5	0	0	0
id309	24.48275862	7.931034482	2.413793104	38.27586207	0	0	0	0	0
id31	0	2	6	0	9	10	3	5	2
id310	0	0	0	0	0	0	0	0	0
id311	0	0	0	0	0	0	0	0	0
id312	0	0	0	0	0	0	0	0	0
id313	1.666666667	0	0	0	0	0	0	0	0
id314	5	1.666666667	5	0	0	0	1.666666667	1.666666667	0
