#OTU ID	HKBea1Nov	HKBea2Nov	HKBea3Nov	HKSW1Nov	HKSW2Nov	HKSW3Nov	HKSta1Nov	HKSta2Nov	HKSta3Nov
id260	6	0	7.6	0	0.4	10.4	0.4	5.2	8.8
id261	0.666666667	0	1.666666667	0	1140.333333	0	121.6666667	0.666666667	0
id262	14.04494382	10.11235955	21.91011236	8.988764045	0	7.865168539	6.179775281	10.11235955	8.426966292
id263	0	10.75268817	12.54480287	6.451612903	0	3.225806452	11.11111111	2.508960573	6.093189964
id264	261	291.75	16	16.5	72	2	493	18.5	4.25
id265	0	0	0	0.559440559	0	0	8.951048951	0	0
id266	3.514376996	6.709265176	3.833865815	5.111821086	0	4.472843451	1.916932907	9.265175719	3.833865815
id267	0.638977636	3.514376997	18.84984026	5.750798722	0	4.153354633	3.833865815	3.514376997	6.709265175
id268	6.389776358	14.05750798	7.028753994	5.431309904	0	5.750798722	0.638977636	3.833865814	6.07028754
id269	7.348242812	1.916932907	10.86261981	2.555910543	0	0.958466454	0.319488818	5.750798722	6.07028754
id27	137	3	115	0	0	116	10	9	63
id270	1	1.5	2	0.5	0	0	82	1	0
id271	0	0	0	0	0	0	0	0	0
id272	0	0	0	0	0	0	0.75	0	0
id273	3.047619048	5.523809524	3.238095238	2.285714286	1717.52381	6.285714286	257.9047619	1.714285714	0
id274	0.256410256	0.384615385	0	0	0	0.769230769	0	1.153846154	0.641025641
id275	0	0	0	0	0	0	0	0	0
id276	1.96445276	1.403180543	2.712815716	1.777362021	0.654817587	3.367633302	0.09354537	1.309635173	1.028999065
id277	9.811320755	26.03773585	35.47169811	23.01886792	7.169811321	12.83018868	14.71698113	21.50943396	13.96226415
id278	10.21267314	8.775220853	34.53157378	10.66201331	9.248554913	8.903915367	0	20.92267423	0.578034682
id279	7.924528302	11.69811321	7.169811321	7.169811321	0	11.69811321	6.79245283	6.41509434	8.301886792
id28	69	0	0	0	0	17	30	0	0
id280	0.625	0	0	0.625	0	0.3125	0	0.9375	0
id281	0	0	0	2	0	2	0	1	0
id282	2.5	8.5	7.5	7.5	4	10	13.5	14	10.5
id283	121.5	161.5	111.5	155.5	10	176	110	119	114
id284	2.641509434	5.283018868	1.886792453	1.132075472	0	1.132075472	0	0.377358491	2.264150943
id285	2.641509434	4.150943396	6.037735849	9.811320755	0	9.056603774	0	3.396226415	7.169811321
id286	0.814332248	1.628664495	1.628664495	0.16286645	643.9739413	3.42019544	50.81433225	0.325732899	0
id287	13.0620985	1.927194861	0.642398287	3.426124197	0	5.995717345	0	5.995717345	4.068522484
id288	0	1.071428571	0.178571429	0.535714286	0	0	3.035714286	0	0.178571429
id289	31.32075472	5.283018868	22.64150943	18.86792453	0	17.73584906	15.8490566	12.83018868	12.83018868
id29	4	0	8	0	0	14	5	0	10
id290	0	14.71698113	10.18867925	11.32075472	0	10.94339623	0.754716981	10.18867925	7.924528302
id291	6	14	13	23	25.5	15	25.5	13	7.5
id292	0	0	0	0	20.16460905	0	1.851851852	0	0
id293	56.22641509	114.3396226	101.8867925	70.56603774	37.73584905	76.2264151	62.26415095	74.71698114	65.66037736
id294	30.56603774	50.94339623	43.01886792	12.45283019	0	19.62264151	108.3018868	26.03773585	21.88679245
id295	0	10	11	11	0	2	0	7	1
