#OTU ID	LTCC1Nov	LTCC2Nov	LTCC3Nov	LTCMW1Nov	LTCMW2Nov	LTCMW3Nov	LTPC1Nov	LTPC2Nov	LTPC3Nov
id249	74.44323628	98.27448184	129.8567585	95.07686595	85.34139564	99.2697464	72.51817407	78.04907516	57.1099658
id25	688	0	2	0	0	0	25	129	3
id250	98.92473118	58.42293907	90.68100358	55.91397849	42.65232975	101.4336918	59.49820789	41.21863799	410.0358423
id251	68.29268292	54.47154471	17.07317073	63.41463414	59.34959349	78.86178861	39.83739837	46.34146341	19.51219512
id252	0	4.761904762	0.793650794	3.968253968	0	3.571428571	2.777777778	1.19047619	3.968253968
id253	0	0	0	0	0	0	0	0	0
id254	15.07936508	23.41269841	17.06349206	16.66666667	15.87301587	9.920634921	20.23809524	21.03174603	60.31746032
id255	572.8709454	459.1476881	644.5065563	868.2539683	804.6204279	718.5127674	783.1608006	654.2305038	1124.765355
id256	0	0	0	0	0	0	0	0	0
id257	28.45528455	26.01626016	37.39837398	8.943089431	14.63414634	21.95121951	15.44715447	8.943089431	11.38211382
id258	13.97849463	17.56272401	25.80645162	7.52688172	13.26164874	10.03584229	13.62007168	12.9032258	52.3297491
id259	50.4	98	75.6	172.8	130.4	36.8	74	118.4	213.2
id26	0	0	0	5	0	1565	0	0	0
id260	3.6	12.8	7.6	7.6	8.8	4.8	11.2	7.2	12
id261	0	5	0	0	0	0	12.33333333	0.666666667	1
id262	4.494382022	5.056179775	5.056179775	3.93258427	7.303370787	4.494382022	7.865168539	4.494382022	0.561797753
id263	1.075268817	3.584229391	2.508960573	0.716845878	0	2.150537634	5.017921147	1.433691756	0
id264	7.5	18	21.25	10.75	3.75	4.75	0.75	0.25	1
id265	0.27972028	0	0	0	0	0	0	0	0
id266	37.06070287	36.10223642	55.2715655	52.71565495	55.59105431	86.58146965	26.8370607	23.3226837	15.65495208
id267	2.555910543	2.875399361	7.028753994	0.638977636	0.958466454	0	7.667731629	8.945686901	0.638977636
id268	25.87859425	28.11501598	39.93610224	19.80830671	16.61341853	15.01597444	50.47923323	29.71246006	29.07348243
id269	3.833865815	1.597444089	0.638977636	3.514376997	0	2.236421725	3.514376996	3.194888179	7.66773163
id27	0	189	0	4	4	0	12	0	0
id270	1	0	0	0	0	1	0	0	0
id271	0	0	0	0	0	0	0	0	0
id272	2.75	2.75	8.75	1.25	1.25	1.75	2.5	0.75	2
id273	0	5.142857143	0	0	8.19047619	0	12.38095238	1.142857143	5.333333333
id274	4.743589744	5.256410256	4.871794872	2.179487179	1.794871795	1.666666667	3.205128205	4.871794872	6.282051282
id275	0	0	0	0	0	0	0	0	0
id276	3.274087933	1.309635173	2.619270346	1.496725912	1.777362021	2.806361085	3.928905519	2.338634238	1.590271282
id277	10.94339623	8.679245283	13.96226415	5.660377359	7.169811321	7.169811321	16.22641509	15.09433962	4.528301887
