#OTU ID	HKBea1Aug	HKBea2Aug	HKBea3Aug	HKSW1Aug	HKSW2Aug	HKSW3Aug	HKSta1Aug	HKSta2Aug	HKSta3Aug
id321	358.5714285	154.2857143	328.5714286	579.9999999	261.4285714	11.42857143	1158.571429	2100	44.28571429
id322	0	1.428571429	0	0	0	1.428571429	0	1.428571429	0
id323	1.428571429	0	0	2.857142857	4.285714286	11.42857143	8.571428572	15.71428572	2.857142857
id324	0	0	0.294117647	0.294117647	0	0	0	0	0.294117647
id325	3.823529412	2.647058824	1.470588235	0	0.882352941	2.647058824	0.294117647	1.470588235	1.764705882
id326	0	0	0	0	0.588235294	0.882352941	0	0	0.294117647
id327	3.823529412	3.529411765	8.529411765	1.764705882	4.411764706	0.294117647	8.529411765	1.470588235	1.764705882
id328	1.176470588	0	0	0.588235294	2.352941176	0	0.588235294	0.294117647	5.588235294
id329	2.058823529	1.470588235	0.588235294	1.764705882	2.352941176	2.647058824	0.588235294	0	0.294117647
id33	161	226	186	158	93	89	76	58	63
id330	0.294117647	0	0	0	0.588235294	0.294117647	0	0	0
id331	2.352941176	0	2.352941176	0	2.94117647	0.588235294	0.294117647	0.588235294	1.176470588
id332	0	0	0	0	0	0	0	0	0
id333	225.5555556	148.8888889	224.4444444	536.6666667	111.1111111	2.222222222	370	896.6666667	102.2222222
id334	0	0	0	0	0	0	0	0	0
id335	654.4444445	511.1111111	585.5555555	2057.777777	786.6666667	856.6666667	785.5555556	1694.444445	474.4444445
id336	1.111111111	0	0	2.222222222	0	0	3.333333333	3.333333333	1.111111111
id337	96.66666667	76.66666667	44.44444444	258.8888889	136.6666667	36.66666667	42.22222222	133.3333333	106.6666667
id338	0	1.111111111	0	4.444444444	2.222222222	0	1.111111111	3.333333333	1.111111111
id339	1.358695652	1.141304348	1.630434783	2.445652174	1.793478261	0.380434783	1.086956522	2.065217391	1.25
id34	8	3	2	0	2	5	7	4	7
id340	1.630434783	0.652173913	0.815217391	1.141304348	0.217391304	0.217391304	0	0.652173913	0.489130435
id341	10.92391304	13.58695652	11.57608696	5.163043478	17.66304348	0.543478261	9.402173913	7.989130434	15.10869566
id342	39.45652174	41.6847826	48.42391304	37.88043479	16.25	12.77173913	56.14130435	43.09782609	25.76086957
id343	561.7391305	643.9130435	707.826087	423.9130434	361.9565218	185.3804348	723.4782608	385.1630435	357.1195652
id344	1.902173913	3.47826087	4.402173913	0.434782609	0.054347826	0	0.326086957	0	0.434782609
id345	0.108695652	0.108695652	0	0.054347826	0	0	0.380434783	0.163043478	0.108695652
id346	0	0	0	0	0	0	0	0	0
id347	1.032608696	0.380434783	0.760869565	0	5.97826087	28.64130435	0.217391304	0.217391304	9.456521739
id348	1.358695652	1.52173913	1.521739131	2.989130435	0.326086956	0.163043478	3.369565218	3.47826087	1.304347826
id349	0.163043478	0.760869565	0.597826087	0	0	0	0	0.489130435	0.326086957
id35	1	25	162	8	10	9	4	0	0
id350	35	31.90217391	24.23913044	33.15217391	33.75	22.2826087	80.43478261	62.01086957	21.90217392
id351	0.217391304	0	0.108695652	0.163043478	0	0.27173913	0.10869565	0.326086957	0.054347826
id352	3.47826087	1.195652174	2.826086957	3.532608696	3.967391304	0.054347826	5.543478261	5.27173913	1.576086957
id353	0	0	0	0.27173913	0.489130435	0.760869565	0	0	0
id354	165.0543478	110.326087	98.09782609	312.7173913	923.9673913	1108.641304	52.7173913	77.55434783	765.4347826
id355	48.64130435	33.20652174	21.35869565	60.10869565	24.56521739	69.56521739	8.858695652	17.77173913	24.45652174
id356	0	0	0	0	0	0	0	0	0
id357	14.51086956	4.293478259	5.380434782	17.55434783	4.565217391	14.83695652	5.81521739	10.38043478	3.369565216
id358	0	0	0	0	0.054347826	0	0.054347826	0.054347826	0.054347826
id359	2.717391304	1.086956521	1.630434782	6.35869565	4.076086957	6.793478261	2.880434781	4.945652172	2.499999998
id36	0	47	2	22	14	9	6	7	2
id360	33.69565218	35.76086957	11.08695652	50.70652173	38.47826087	68.69565217	17.11956522	18.75	20.86956521
id361	0.217391304	0	0.108695652	0.217391304	0.163043478	0.163043478	0	0.054347826	0.163043478
id362	0.97826087	0.543478261	0.217391304	2.554347826	0.869565217	2.934782609	0.326086957	0.760869565	0.163043478
id363	0.706521739	0.108695652	0.054347826	0.163043478	0.70652174	0.27173913	0	0.108695652	0.108695652
id364	2.989130435	1.032608695	0.760869566	11.79347826	4.076086956	25.70652174	0.489130435	0.923913044	0.652173913
id365	13.64130435	6.79347826	3.152173913	10.65217391	12.55434782	12.01086957	17.17391304	36.08695652	5.923913042
id366	0.108695652	0.054347826	0	0.27173913	0	0	0.054347826	0	0.054347826
id367	3.097826087	0.326086957	0.108695652	0.760869565	0.217391304	0.217391304	0.815217391	0.923913043	0.217391304
id368	0.054347826	0.108695652	0	0	0.054347826	0.054347826	0.054347826	0.217391304	0
id369	0.543478261	0.108695652	0	0.163043478	0	0	0.054347826	0.163043478	0
id37	1	54	0	8	6	26	61	2	0
id370	1.847826087	1.141304347	0.869565216	1.032608695	1.032608695	0.217391304	2.554347826	2.5	0.760869565
id371	0.054347826	0	0	0.163043478	0.543478261	0.815217391	0	0	0.054347826
id372	0.597826087	0.54347826	0.054347826	0.326086956	0.163043478	0.054347826	0.543478261	1.413043478	0.326086957
id373	0.108695652	0.054347826	0.054347826	0	0.054347826	0.163043478	0.054347826	0.108695652	0
id374	0	0.054347826	0	0.163043478	0	0	0	0.108695652	0
id375	0.81521739	0.815217391	0.326086956	4.456521739	1.793478261	2.391304347	0.217391304	0.706521738	1.032608695
id376	0.27173913	0.27173913	0.434782609	0.760869565	0.108695652	0	0.380434783	0.978260869	0.054347826
id377	0.380434783	0.054347826	0	0.489130435	0.489130435	1.195652174	0	0.163043478	0.380434783
id378	15.16304348	5.380434783	18.20652174	33.69565218	12.60869565	8.097826087	19.61956522	34.13043479	7.77173913
id379	142.4	52.4	89.2	96.4	72.8	45.2	57.2	71.6	70
id38	31726	19248	22654	18026	8810	22917	34247	29232	43968
id380	128.8	89.6	105.6	47.2	61.2	24	69.6	38.4	78.8
id381	60	10	15.6	30	44.4	45.2	5.2	20	44
id382	189.2	176.8	144	295.2	240.4	343.6	272	253.6	314.8
id383	15.2	14.8	8	50.8	21.6	32.4	54.8	38.8	41.2
id384	273.6	217.2	71.6	69.6	106	87.6	139.6	98	171.2
id385	0.4	0.8	0.4	0.4	0	0	1.6	1.2	0.4
id386	66.8	5.6	4.4	2.4	3.2	3.2	8.8	6.8	11.6
id387	13.6	0	0	0	4.4	0.4	0	0	4.8
id388	0	1.2	1.6	0	2	2	2	0	6.4
id389	20.4	81.6	73.2	35.6	11.2	6.8	80.8	38.8	37.2
id39	2	0	0	1	0	0	2	2	5
id390	0	2	3.2	1.2	0.4	0	2.4	0.8	1.2
id391	4	6.8	11.2	29.6	3.6	1.6	10	24	4
id392	91.2	104.8	162.4	92.8	40	42	149.2	94	101.6
id393	0	0	0	7.142857143	7.142857143	2.857142857	1.428571429	5.714285714	0
id394	8.571428572	7.142857143	20	58.57142857	40	35.71428571	27.14285715	31.42857143	27.14285714
id395	187.1428571	34.28571429	121.4285714	808.5714286	360	314.2857143	362.8571428	1230	81.42857143
id396	0	2.857142857	0	12.85714286	5.714285714	2.857142857	1.428571429	24.28571429	0
