#OTU ID	HKBea1Feb	HKBea2Feb	HKBea3Feb	HKSW1Feb	HKSW2Feb	HKSW3Feb	HKSta1Feb	HKSta2Feb	HKSta3Feb
id188	20.41666666	14.16666667	16.25	5.833333333	14.16666667	4.583333333	17.08333333	11.66666667	16.25
id189	7.916666667	5	4.583333333	3.75	3.333333333	1.25	6.666666667	2.083333333	3.333333333
id19	268	1527	598	126	851	69	980	446	873
id190	3.5	1	3.5	0	0	1.5	0	0.5	0.5
id191	1685.5	3707.5	1833	19	1457	828.5	1824	1830	2546.5
id192	0	0	0	0	0	0	0	0	0
id193	1	0	0	0	0	0	0	0	0
id194	0	0	0	0	0.854700855	0	0	0	2.564102564
id195	1.5	0	0	0	0	2	0	0	0
id196	2188.034188	1957.264957	1713.675214	3602.564103	3304.273504	2844.444444	1799.145299	3299.1453	3380.34188
id197	0.9375	0	0	3.4375	7.1875	4.0625	4.6875	4.375	2.5
id198	23.4375	15.625	18.4375	33.125	31.875	35.3125	23.75	11.5625	17.5
id199	61.2	121.2	68.2	159.2	96.8	177	90.4	135.2	107
id2	448	39	29	2	57	18	21	14	31
id20	0	0	0	0	0	0	0	2	1
id200	1.136363636	1.363636364	0	1.818181818	1.818181818	2.045454545	3.863636364	0.681818182	0
id201	44.375	68.4375	41.875	33.4375	41.25	57.5	94.0625	41.25	53.4375
id202	192.8125	320.625	247.1875	221.25	213.125	257.8125	179.6875	221.875	192.1875
id203	32.5	30.9375	19.6875	16.875	35.3125	33.4375	43.4375	18.75	32.5
id204	2.8125	1.875	0.9375	14.0625	15	14.375	32.8125	9.375	9.375
id205	10.77199282	13.28545781	7.719928186	11.66965889	15.61938959	14.72172352	5.745062836	9.335727109	20.46678636
id206	18.75	19.0625	12.8125	19.375	33.125	17.5	29.0625	16.25	32.8125
id207	0	14.52991453	7.692307692	5.982905983	12.82051282	11.11111111	0	5.982905983	0
id208	1348.568376	1078.440171	1102.991453	1120.333333	1112.217949	918.940171	992.8205129	758.6282051	1479.393162
id209	13.63211951	21.29569776	18.74595992	26.01809955	12.76305394	35.78251813	37.17230482	14.44372621	20.8755297
id21	1209	1058	2171	931	1188	609	298	429	661
id210	20	15.66666666	24	13	11.66666667	9	16.33333333	7.666666666	8.333333334
id211	8	7	18	17	5	9	3	5	6
id212	0	0	0	0	0	0	0	0.598802395	1.19760479
id213	2	4.095238095	4.095238096	0.476190476	0.476190476	0	1.428571429	0.952380952	0.952380952
id214	0	0	0	0	0	0	0	0	0
id215	3	1	3	0	0	0	1	0	0
id216	47	26	46	19	14	5	22	7	7
id217	2.307692308	5.384615385	0	0	0	0	3.846153846	2.307692308	0
id218	143.4782609	50.72463768	47.82608696	5.797101449	8.695652174	27.0531401	203.8647343	17.87439614	24.15458937
id219	0	0	0	0	0	0	0	0	0
id22	0	35	0	0	0	0	0	0	3
id220	5	4	3	5	0	0	0	0	0
id221	0	0	0	0	0	0	0	0	0
id222	0.476190476	0	0	0	0	0	0	0	0
id223	1.234567901	1.234567901	0	1.646090535	2.469135802	2.469135802	0.823045267	0.823045267	0.411522634
id224	13.72299873	3.049555273	2.033036849	2.287166455	0.889453621	0.889453621	2.92249047	3.430749683	2.160101652
id225	0	0	0	0	0	0	0	0	0
id226	1.666666667	5	1.666666667	0	3.333333333	1.666666667	5	3.888888889	0
id227	38	21	66	8	8	21	17	20	7
id228	0	0.462962963	1.851851852	0	0	0	1.388888889	0	0
id229	0	0	0	0	0	0	4.62962963	0.462962963	0
id23	0	0	0	0	0	0	0	0	0
id230	0	0	0	0	0	0	0	0	0
id231	3	2	3	0	0	0	0	0	0
id232	5.714285714	3.333333333	5.714285714	37.61904762	28.0952381	32.85714286	23.33333333	11.9047619	15.71428571
id233	6.033091203	10	1.904761905	1.904761905	0.476190476	2.857142857	0.476190476	2.857142857	6.666666667
id234	0	0	1.898734177	0	0	0	0	3.797468354	0
id235	0	12	1	2	0	0	0	0	0
id236	0	0	0	0	0	0	0	0	0
id237	20	132	46	17	49	11	49	27	40
id238	0	0	0	0	0	0	0	0	0
id239	0	0	3.603603604	0	0	0	0	0	0
id24	258	2108	705	1643	429	22	3289	718	852
id240	33	135.5	46	6	15	4.5	29.5	15	20
id241	4.504504505	33.33333334	5.405405405	4.504504505	3.603603604	10.81081081	5.405405405	9.009009009	10.81081081
id242	0	0	0	0	0	0	0	0	0
id243	0	0	0	0	0	0	0	0	0
id244	0	0	0	0	0	0	0	0	0
id245	0	0.666666667	0	1.333333333	0	0	0	1.333333333	0
id246	9.047619048	6.19047619	13.33333333	5.238095238	1.904761905	4.285714286	3.333333333	5.238095238	2.857142857
id247	5.6	1.6	2.4	4	2.4	12	0	4	4.4
id248	202.8089888	91.57303371	200.5617978	178.6516854	107.8651685	207.8651685	100.5617978	131.4606742	85.39325843
id249	214.0748043	144.0497274	252.470751	198.6537285	107.3244892	225.7579285	97.79121495	137.268717	84.40423113
id25	13	1	62	0	1	0	6	4	34
id250	1.075268817	1.075268817	0	0	3.584229391	0.358422939	2.867383513	0	0
id251	8.94308943	23.57723577	8.1300813	4.87804878	7.31707317	20.32520325	2.43902439	16.2601626	13.82113821
id252	0	0	0	0	5.158730158	7.142857143	0	4.761904762	0
id253	31	28	34	216	77	228	67	114	50
id254	17.06349206	12.6984127	12.3015873	16.26984127	17.06349206	26.19047619	13.49206349	21.82539683	14.28571429
id255	113.326432	132.5672878	105.5762595	558.778468	912.8640442	867.7329192	319.2270531	688.1677018	473.1746032
id256	0	0	0	0	0	0	0	0	0
id257	0	0	0	0	0	0	0	0	0
id258	34.76702509	23.29749104	44.08602151	20.78853047	12.54480287	25.80645161	15.77060932	13.97849462	18.99641577
id259	258	94.8	308	125.2	99.6	115.2	112	146.8	70
id26	0	2	1793	51	722	1	5	13	3
id260	13.2	9.2	16.4	8	5.2	11.2	6	12	3.2
id261	1	0	0	0	1.666666667	0	18.33333333	0.333333333	0.666666667
