#OTU ID	SKBlu1Nov	SKBlu2Nov	SKBlu3Nov	SKLKW1Nov	SKLKW2Nov	SKLKW3Nov	SKSha1Nov	SKSha2Nov	SKSha3Nov
id218	1924.637681	3762.801932	2798.550725	3859.42029	2333.816425	2945.89372	5836.231884	4089.371981	5182.125604
id219	0	0	5.384615385	0	0	0	0.769230769	0	0
id22	13	560	2	9	3	2	4	1	13
id220	18	23	17	12	15	10	2	2	0
id221	0	0	0	1.904761905	1.428571429	0	0.952380952	0.476190476	0.476190476
id222	0	0	0.476190476	1.428571429	0.952380952	1.904761905	0.476190476	0	0
id223	2.469135802	0	3.29218107	9.465020576	0	0	8.641975309	5.761316872	11.52263375
id224	2.92249047	2.033036849	4.066073698	1.143583227	2.414231257	0.889453621	2.160101652	1.778907243	2.160101652
id225	2.115384615	3.461538462	2.884615385	0.576923077	1.538461538	1.538461538	0.192307692	1.153846154	0.192307692
id226	136.6666667	114.4444444	138.3333333	67.22222222	96.66666666	71.11111111	20	34.44444444	28.33333333
id227	142	145	177	115	113	131	38	107	67
id228	6.481481481	9.259259259	9.722222222	8.796296296	13.42592593	11.57407407	4.62962963	8.796296296	6.944444444
id229	18.05555556	6.018518519	14.81481481	2.314814815	2.314814815	7.407407407	0.925925926	4.166666667	5.555555556
id23	1	0	0	0	0	2	0	1	0
id230	0	0	0	0	0	0	0	0	0
id231	33	49	42	8	11	8	5	20	8
id232	0	0	0	1.428571429	0	0	9.047619047	8.571428571	15.71428571
id233	43.13274583	64.37449556	99.69686541	36.24207749	60.2966409	41.63755771	147.7338856	181.726462	145.3575013
id234	15.82278481	0	13.92405063	0	0	0	0	24.68354431	0
id235	0	0	0	0	6	7	3	1	7
id236	1.271186441	0	0	0	0	0	0	0	0.423728814
id237	116	52	147	40	72	53	208	244	116
id238	3.03030303	2.272727273	3.787878788	2.272727273	4.545454545	1.515151515	3.03030303	7.575757576	6.060606061
id239	145.045045	141.4414414	236.9369369	64.86486486	134.2342342	87.38738739	59.45945946	73.87387387	49.54954955
id24	0	0	0	0	0	0	0	0	0
id240	144	116.5	192	67	103.5	47.5	180	314	171
id241	109.9099099	112.6126126	201.8018018	76.57657658	65.76576576	81.98198198	54.95495495	118.9189189	54.95495496
id242	20.5	25.5	32.5	10.5	4.5	3	1.5	1	0
id243	16.5	19.5	18	6	10.5	11	7	7	1.5
id244	0.5	0	0	0.5	0.5	0	1.5	0	0.5
id245	0	2.666666667	0	2	2.666666667	2	4.666666667	1.333333334	6.666666667
id246	18.46689896	23.82113821	23.28687572	11.54471545	13.728223	14.18118467	6.19047619	8.153310104	8.350754936
id247	2.4	4	2.8	2.8	1.6	6.8	0.8	3.2	0.8
id248	52.24719102	80.8988764	88.76404494	90.4494382	89.3258427	120.7865169	48.31460674	102.8089888	94.38202247
id249	125.7754125	133.364618	166.5447203	122.5354126	181.905928	166.8820249	73.00212853	197.1543242	120.6849031
id25	4	9	3	4	52	9	9	1	0
id250	26.88172043	21.86379928	12.54480287	12.18637993	11.11111111	12.90322581	10.75268817	16.12903226	18.63799283
id251	34.95934959	42.27642276	43.90243902	86.99186991	86.17886178	60.16260162	107.3170732	88.61788617	141.4634146
id252	0	0	0	1.19047619	0	1.984126984	1.19047619	0	0
id253	6	0	0	0	0	0	0	0	0
id254	38.0952381	18.65079365	36.50793651	24.6031746	29.36507937	29.36507937	13.88888889	17.85714286	10.71428571
id255	297.3222912	421.4113182	192.1704624	397.4189096	692.6777088	573.7198068	323.8647343	475.6556246	472.6984127
id256	0	0	0	0	0	0	0	0	0
id257	26.82926829	17.07317073	20.32520325	14.63414634	14.63414634	12.19512195	7.317073171	12.19512195	15.44715447
id258	73.83512545	27.95698924	74.91039427	29.390681	44.80286739	40.50179211	19.71326165	45.51971326	37.27598566
id259	176.4	169.2	136.8	222.8	188.4	262.4	33.2	159.2	86.8
id26	0	0	0	0	0	0	0	0	0
id260	28.8	14.8	19.6	14	22.4	18.4	11.2	34.4	23.2
id261	0	0	0.333333333	0.333333333	0	0	0.333333333	0	0.666666667
id262	24.15730337	9.550561798	22.47191011	7.865168539	14.60674157	14.60674157	1.123595506	3.93258427	7.303370787
id263	12.90322581	6.810035842	6.451612903	2.867383513	6.093189964	3.94265233	2.508960573	0.358422939	0
id264	11.25	3	0	1.75	0.75	0	0	0	2
id265	0.41958042	0	0	0	0	0	0	0	0
id266	10.86261981	5.111821087	1.597444089	13.09904153	7.348242811	10.22364217	4.792332269	6.709265176	8.945686901
id267	18.21086263	20.44728434	15.97444089	12.77955272	13.09904153	16.61341853	7.667731629	20.12779553	9.265175719
id268	2.875399361	5.111821086	2.875399361	3.194888179	6.389776358	7.028753994	2.236421725	5.111821086	2.875399361
id269	3.514376996	7.028753993	7.987220448	7.348242811	8.306709265	5.750798722	1.277955272	8.306709265	7.667731629
id27	31	1	29	0	3	17	14	32	3
id270	0	0	0	0	0	0	0	0	1
id271	0.223713647	0	2.237136465	0.447427293	0	0.447427293	2.013422819	2.013422819	0
id272	0.75	0	0	0.25	0	1.5	0	0	0
id273	0.380952381	0	0.761904762	0	0.761904762	0	0.380952381	0	0
id274	0	1.282051282	0	0.128205128	0	0.256410256	0.512820513	0	0
id275	0	0	0	0	0	0	0	0	0
id276	1.683816652	3.180542563	2.525724977	2.525724977	2.712815716	1.96445276	1.777362021	3.554724042	3.180542564
id277	43.7735849	29.05660377	28.67924528	21.50943397	22.64150944	23.7735849	7.547169811	6.79245283	6.41509434
id278	18.58654161	10.43734322	29.60191951	10.59003163	9.634638455	13.48020504	10.61402552	17.98451303	14.78896281
id279	19.62264151	12.45283019	9.811320755	10.18867925	15.09433962	12.83018868	13.58490566	16.60377358	22.26415094
id28	13	1	41	3	3	3	13	0	0
id280	0.625	1.875	0	0.9375	0	0.625	0	0	0.3125
id281	2	2.5	0	0.5	2.5	0.5	0	0	3.5
id282	9	0	28	14	0	0	11	28	18.5
id283	138	123.5	155.5	99.5	89.5	91.5	102	169	127.5
id284	4.905660377	3.396226415	1.509433962	1.886792453	4.905660377	3.018867925	4.905660377	3.018867925	4.150943396
id285	5.283018868	10.18867925	3.773584906	6.79245283	10.18867925	5.283018868	6.41509434	7.547169812	7.924528302
id286	2.605863192	1.465798046	0.977198697	0.16286645	0	0	0.325732899	0	0
id287	2.141327623	3.854389722	0	9.207708779	2.355460385	4.282655246	0.642398287	2.141327623	2.997858672
id288	0.178571429	0	0	0.178571429	1.607142857	0	0	0	0.714285714
id289	15.09433962	13.96226415	17.73584906	12.83018868	10.18867925	15.47169811	10.18867925	18.86792453	11.32075472
id29	3	0	0	0	1	3	0	0	0
id290	23.39622642	3.773584906	7.169811321	3.396226415	9.433962264	6.037735849	3.396226415	4.150943396	9.433962264
id291	16.5	12.5	15	18.5	15	13	12	15	21.5
id292	0	0	0	0	0	0	0	0	0
id293	91.32075472	76.22641509	69.81132075	80	104.9056604	98.11320755	16.98113208	39.62264151	43.77358491
id294	48.67924528	44.1509434	70.56603774	50.18867925	64.52830189	72.83018868	18.86792453	35.8490566	22.26415094
id295	31	26	21.15606936	23.46820809	21.20231214	27.20231214	8	22	19
id296	9.811320755	12.0754717	35.09433962	6.79245283	13.20754717	6.41509434	2.264150944	21.88679245	11.69811321
id297	14.33962264	7.169811321	9.811320755	6.79245283	6.037735849	4.150943396	7.169811321	7.169811321	3.018867925
id298	241.952381	279	304	210	259	188	107	167	187.4761905
id299	539.5833333	455.5555555	529.8611111	396.8333333	523.1388889	310.7222222	65.58333333	86.72222222	92.36111112
id3	0	0	0	5	0	0	0	0	0
id30	0	0	1	0	0	0	0	0	0
id300	0	0	0	0	0	0	0	0	0
id301	6	7.333333333	12.66666667	0.666666667	6.666666667	4	3.333333333	4	0
id302	1.5	0.333333333	3.166666666	0.5	1.166666667	0.666666667	1	2.666666667	1.166666667
id303	34.16666667	43	66.16666667	34.83333333	30.66666666	49.5	29.83333334	31.66666667	16.66666667
id304	0	0	0	0.5	0	8	15	1.5	6
id305	0	0	0	0	0	0	0	0	0
id306	10.4	16	26.4	15.2	19.2	18.4	36.8	75.2	46.4
id307	31.48148148	25.92592593	29.25925926	18.88888889	32.59259259	25.18518519	15.55555556	20.74074074	24.07407408
id308	95	101.6666667	44.16666666	34.16666667	66.66666666	37.5	14.16666667	20.83333334	7.5
id309	0	0	0	0.689655172	1.724137931	0.344827586	0	1.034482759	0.344827586
id31	22	0	4	6	5	2	0	1	0
id310	0	0	0	0	0	0	0	1.302931596	0
id311	0	0	0	0	0	0	0	0	0
id312	0	0	0	0	0	0	0	0	0
id313	11.66666667	16.66666667	10	28.33333333	16.66666667	10	3.333333333	1.666666667	3.333333333
id314	1.666666667	0	3.333333333	3.333333333	0	1.666666667	13.33333333	6.666666667	0
id315	0	0	0	0	0	0	1.666666667	0	13.33333333
id316	0	0	0	0	0	0	0	0	0
id317	98.33333333	76.66666667	161.6666667	245	170	193.3333333	30	8.333333333	175
id318	10	15	10	1.666666667	5	1.666666667	1.666666667	0	0
id319	0	0	0	4.285714286	45.71428571	28.57142857	8.571428571	14.28571429	2.857142857
id32	1	1	0	14	0	0	0	0	0
id320	2354.285714	1185.714286	1118.571429	2327.142858	7718.571429	10850	2344.285714	1917.142857	1701.428571
id321	2025.714286	2034.285715	2991.428571	5727.142857	5511.428571	4831.428571	7265.714285	9825.714286	2637.142857
id322	1.428571429	0	4.285714286	7.142857143	1.428571429	11.42857143	0	0	10
id323	62.85714286	38.57142858	55.71428571	24.28571429	17.14285714	1.428571429	30	4.285714286	0
id324	0.882352941	0	0	4.411764706	3.529411765	174.7058824	0.294117647	0	0
id325	1.470588235	0	1.176470588	2.058823529	0.294117647	3.529411765	0.294117647	1.176470588	0
id326	2.941176471	0.588235294	0.882352941	0	0	0.294117647	0	2.647058824	0
id327	12.94117647	6.764705882	4.117647059	2.352941176	0.588235294	0.294117647	4.117647059	5.588235294	6.176470588
id328	41.76470588	15.88235294	25	25.29411765	12.35294118	13.52941176	5	22.64705882	0
id329	6.764705882	2.058823529	3.529411765	6.764705882	2.941176471	1.470588235	0	0	0
id33	457	24	1646	237	75	590	175	292	1045
id330	0.294117647	0	0	0.882352941	0.294117647	0.882352941	0	0	0
id331	17.64705882	21.76470588	18.52941176	12.94117647	7.352941176	2.94117647	3.235294118	0.294117647	0.294117647
id332	2.058823529	0.588235294	0	0	0	0.588235294	0.294117647	0	0
id333	1782.222222	947.7777778	1021.111111	1891.111111	1564.444444	3518.888889	3256.666667	2857.777778	2525.555556
id334	14.44444444	1.111111111	11.11111111	37.77777778	22.22222222	35.55555556	32.22222222	52.22222222	36.66666667
id335	3428.888888	2053.333333	3125.555556	4493.333334	3282.222222	6071.111112	8005.555556	4804.444444	5034.444444
id336	3.333333333	0	2.222222222	2.222222222	2.222222222	6.666666667	0	1.111111111	0
id337	70	64.44444444	70	75.55555556	44.44444444	32.22222222	20	2.222222222	2.222222222
id338	18.88888889	12.22222222	23.33333333	12.22222222	20	4.444444444	12.22222222	2.222222222	0
id339	9.02173913	9.184782609	12.66304348	7.77173913	2.554347826	1.25	15.70652174	16.0326087	13.64130435
