#OTU ID	LTCC1May	LTCC2May	LTCC3May	LTCMW1May	LTCMW2May	LTCMW3May	LTPC1May	LTPC2May	LTPC3May
id170	7	0	0	0	0	0	0	0	39
id171	188	1	1320	0	1	0	102	2084	1024
id172	0	0	0	0	0	0	0	0	0
id173	0	0	0	0	0	0	0	58	0
id174	0	0	0	0	0	0	0	0	0
id175	0	510	1	5225	13067	10270	0	4038	189
id176	0	0	0	2.307692308	0	0	0	0	0
id177	11.53846154	0	0	2.307692308	0	0	0	0	0
id178	60	44.61538462	31.53846154	52.30769231	26.92307692	132.3076923	204.6153846	153.0769231	190.7692308
id179	0	0	0	0	0	0	0	0	0
id18	132	603	2394	686	192	29	272	323	326
id180	4.191616766	0	0	0	0	0	2.395209581	0	0
id181	1.5	1	3	0	0	1.5	0	0.5	0
id182	6	1.5	0	2	5	3.5	1	0	0
id183	17	4.25	13.25	7.75	21.5	4.5	3	0.25	0
id184	0	0	0	0	0	0	0	0	0
id185	16.875	10.625	12.8125	6.875	13.4375	14.375	9.0625	22.1875	7.5
id186	5.128205128	0.854700855	1.709401709	3.418803419	9.401709402	9.401709402	9.401709402	7.692307692	5.982905983
id187	0	0	0	0	0	0	0	0	0
id188	65.83333334	25.41666667	57.5	70.41666667	162.5	115	38.75	45.41666666	15
id189	0	0.416666667	0	4.166666667	0	1.25	0	2.916666667	2.083333333
id19	328	340	431	2766	1178	54	4	260	185
id190	5.5	0	0	0	10.5	0.5	3	4.5	2
id191	166.5	103	8.5	7	346	47.5	131.5	179.5	55
id192	0	0	0	0	0	0	0	0	0
id193	0	0	0	0	0	0	0	3.5	0
id194	41.88034188	21.36752137	47.00854701	18.8034188	14.52991453	19.65811966	29.91452992	36.75213675	15.38461538
id195	0	0	0	0.5	0	1	3.5	3.5	0
id196	2288.888889	1850.42735	2565.811966	1976.068376	2842.735042	3437.606838	1894.017094	3723.931624	1896.581197
id197	14.6875	15	36.875	27.8125	59.375	24.6875	23.75	71.25	38.4375
id198	6.25	2.1875	2.8125	0	0	0	0.625	0	2.1875
id199	20.6	17.4	14.2	29.2	75.8	33	12.4	10	12.4
id2	52	140	0	165	22	47	2024	54	3
id20	5	0	4	2	0	0	0	0	19
id200	1.363636364	0.227272727	1.136363636	2.954545455	2.954545455	1.363636364	0	0	0
id201	79.0625	52.8125	40	33.75	64.6875	33.75	30.9375	49.6875	34.375
id202	183.75	138.75	181.5625	341.5625	598.125	475	205.625	323.125	158.125
id203	172.5	123.4375	195.625	184.0625	297.8125	466.25	146.25	247.1875	188.75
id204	5.625	0	1.875	0	12.8125	0	7.8125	11.25	2.1875
id205	23.33931778	6.104129263	7.8994614	12.92639138	37.88150808	10.77199282	1.615798923	4.667863555	1.97486535
id206	54.0625	34.0625	50.625	63.75	173.125	66.875	55.9375	213.75	73.75
id207	0	0	0	0	0	1.709401709	0	0	0
id208	303.2136753	279.2478633	440.0128205	245.4786325	707.534188	178.5213676	370.7350427	621.7905982	320.6452992
id209	6.808877397	11.92271781	13.58902535	32.34935	104.6685341	36.15959205	8.112475759	12.70559506	5.548373195
id21	81	432	944	156	4	11	21	52	480
id210	1.333333333	1	1	0	0	0.666666667	4.333333333	2	0.333333333
id211	7	6	12	9	16	16	12	12	2
id212	0	0	0	0	4.790419162	5.389221557	0	0	0
id213	6.095238096	3.333333333	4.952380952	0	1.333333333	0	2	3.333333333	6.476190476
id214	0	0	0	0	0	0	0	0	0
id215	0	0	0	0	0	0	0	0	0
id216	6	4	3	0	2	13	5	8	0
id217	10.85239085	20.39501039	17.54677754	16.09147609	5.945945946	38.60706861	42.86902287	21.10187111	35.17671518
id218	1801.932367	3465.700483	1703.381643	2039.613527	127.5362319	221.7391304	4038.647343	820.7729469	4272.463768
id219	0	0.769230769	2.307692308	0	0	3.846153846	0.769230769	0	0
id22	5	4	8	13	0	0	0	2	7
id220	0	0	0	2	0	0	1	7	0
id221	0	0	0	0	0	0	0	0	0
id222	1.428571429	0	0	0	0	0	0.952380952	0	0
id223	2.057613169	3.703703703	6.172839506	3.703703704	39.91769547	47.73662551	36.21399176	39.91769547	0
id224	0.635324015	0.127064803	0.127064803	0.381194409	0.381194409	1.016518424	2.795425667	0.635324015	0.762388818
id225	0	0	0	0	0	0.384615385	2.5	0.192307692	1.538461538
id226	8.888888889	4.444444444	0.555555556	0	0	5	4.444444444	3.888888889	1.666666667
