#OTU ID	LTCC1Feb	LTCC2Feb	LTCC3Feb	LTCMW1Feb	LTCMW2Feb	LTCMW3Feb	LTPC1Feb	LTPC3Feb
id144	4	3	5	2	6	2	2397	0
id145	0	0	0	0	0	0	0	0
id146	698	7	323	9	123	11	12	3
id147	0	0	0	0	3	0	0	20
id148	2	6	2	9	1144	3	3	0
id149	0	0	0	0	7	0	0	23
id15	0	0	8	0	1	0	0	6
id150	0	0	0	0	0	0	0	0
id151	555	8	5	7	37	6	10	12
id152	0	0	0	0	0	0	0	0
id153	866	464	1717	26	144	23	323	398
id154	0	0	0	0	0	0	0	0
id155	0	0	0	0	0	0	0	0
id156	0	0	0	0	0	0	0	0
id157	0	1	1	0	15	1	1	0
id158	6	2	5	4	1158	4	5	1
id159	0	4	0	0	0	0	0	0
id16	30	44	85	33	82	31	156	810
id160	349	6	240	9	7	2	7	2
id161	0	1	0	0	0	0	0	0
id162	8	755	11	14	12	5	1127	0
id163	0	0	0	0	0	0	0	0
id164	1	2	0	1	0	93	0	1
id165	0	0	0	0	0	0	0	0
id166	0	0	4	0	0	0	0	4
id167	0	0	0	25	5	0	0	0
id168	0	0	0	0	0	0	0	0
id169	0	0	0	0	0	0	0	0
id17	441	1284	5042	7791	3346	5308	2197	1288
id170	0	4	0	0	0	0	0	0
id171	690	690	120	66	204	26	1496	11
id172	0	0	0	0	0	0	0	0
id173	0	0	0	0	0	0	0	0
id174	0	0	0	0	0	0	32	0
id175	394	11	12	15	115	12	2865	3380
id176	0	6.153846154	0	7.692307692	0	0	0	0
id177	4.615384615	0	3.846153846	20.76923077	20	18.46153846	4.615384615	0
id178	1.538461538	10	13.07692308	24.61538462	38.46153846	15.38461538	42.30769231	13.07692308
id179	0	2.5	0	0	0	0	0	0
id18	596	599	919	3466	4262	5082	2115	423
id180	0	0	1.19760479	0	0	0	0	0
id181	0	3.5	3.5	3	7	0	0	0
id182	1.709401709	0	0	4	0	0	0	0.854700855
id183	0	0.5	0	0	0	0	2.25	0.5
id184	0	0	0	0	0	0	0	0
id185	8.4375	3.125	10.3125	4.375	3.125	0	2.8125	0.3125
id186	0	0	0	0	0	0	0	0
id187	2	0	0	2	5	0	0	0
id188	2.5	5.416666667	6.666666667	6.666666667	11.66666667	3.75	5.416666667	0
id189	0	0.416666667	0	0	0	2.083333333	0	0
id19	16	34	287	1154	43	1378	112	468
id190	0	2.5	0	0	0	0	0	0
id191	469.5	538.5	840	248	402.5	14.5	19	346.5
id192	0	0	0	0	0	0	0	0
id193	0	0	0	0	0	0	0	0
id194	0.854700855	4.273504274	0	1.709401709	0	0.854700855	0	0
id195	0	0	0	1.5	0	0	0.5	0.5
id196	3886.324786	3624.786325	5916.239316	3630.769231	3594.871795	3835.897436	3191.452991	3040.17094
id197	31.875	20.9375	5.3125	9.6875	8.4375	16.5625	17.5	30.625
id198	10.9375	15.9375	14.0625	96.25	91.25	99.0625	11.25	35.9375
id199	262.6	222.2	94.4	222.8	199.2	177	101.2	146.4
id2	82	74	477	48	869	602	843	161
id20	0	0	0	0	0	0	0	1
id200	0.681818182	2.727272727	5.909090909	4.772727273	6.363636364	6.590909091	0	1.590909091
id201	16.875	34.6875	42.8125	26.25	43.75	38.125	38.4375	10.9375
id202	159.375	173.75	111.25	230.625	243.4375	222.8125	169.6875	154.375
id203	19.375	35.3125	58.4375	65.9375	58.125	62.5	53.125	20.3125
id204	85	62.5	69.375	39.6875	42.5	49.6875	42.1875	153.4375
id205	12.02872531	14.18312388	11.13105925	21.36445243	28.00718133	20.64631957	11.31059246	27.28904847
id206	39.6875	31.875	22.8125	27.1875	25.9375	22.5	31.875	55.9375
id207	10.25641026	4.273504274	0	8.547008547	13.67521368	20.51282051	11.96581197	13.67521368
id208	472.2991453	640.9487179	835.8846154	397.5512821	452.1880342	446.7051283	599.0854701	816.7606837
id209	56.54313008	48.98010486	57.45528981	54.39919557	84.82008187	50.54585937	45.05494506	89.3557423
id21	114	135	653	174	432	1511	426	978
id210	2	3.333333333	3.666666667	2	4.333333333	1.333333333	1	6.333333333
id211	0	0	2	0	0	2	0	0
id212	0	0	0	0	0	0	0	0
