#OTU ID	LTCC1Aug	LTCC2Aug	LTCC3Aug	LTCMW1Aug	LTCMW2Aug	LTCMW3Aug	LTPC1Aug	LTPC2Aug	LTPC3Aug
id145	0	0	0	0	0	0	0	0	0
id146	0	0	0	0	0	0	0	0	0
id147	40	8	292	7	0	104	5	0	1
id148	3	1	4	5	3	0	0	1	0
id149	0	0	0	0	0	0	0	0	0
id15	23	0	0	0	6	0	25	14	28
id150	0	0	0	0	0	0	0	0	0
id151	0	0	0	0	0	0	0	0	0
id152	0	0	0	0	0	0	0	0	0
id153	0	0	0	0	0	0	0	0	0
id154	0	0	0	0	0	0	0	0	0
id155	0	0	127	0	0	0	0	0	0
id156	5	1	316	1	1	0	0	0	0
id157	7	3	7	111	3	0	0	0	0
id158	0	0	0	0	0	0	0	0	0
id159	5	0	3	3	3	2	0	0	0
id16	17	1	25	8	6	40	1236	4114	181
id160	191	0	2	0	1	0	0	0	1
id161	0	0	0	0	0	0	0	0	0
id162	5	2	1	131	0	0	0	0	0
id163	0	0	0	0	0	0	0	0	0
id164	0	0	0	0	0	0	0	0	0
id165	8	2	8	5	1	0	0	9	0
id166	299	3	154	1	3	2	5	0	24
id167	189	4	125	2	7	3	1	3	6
id168	27	0	0	0	0	0	1	0	0
id169	32	7	24	10	6	10	0	26	1
id17	17105	7986	5261	2401	3161	476	3876	4342	1479
id170	6	2	8	10	0	2	0	0	0
id171	1651	3404	2637	694	7189	4209	686	2810	11866
id172	0	0	0	0	0	0	0	0	0
id173	0	0	0	0	0	0	0	0	0
id174	0	0	0	0	0	0	0	0	0
id175	189	0	0	1	0	4	0	1	205
id176	3.076923077	0	0	0	0	0	10	42.30769231	0
id177	0	14.61538462	6.153846154	16.92307692	19.23076923	0	4.615384615	59.23076923	0
id178	86.15384615	221.5384615	239.2307692	60	267.6923077	174.6153846	411.5384615	470	415.3846154
id179	22.5	10.5	25	23	16.5	22	22.5	25.5	70.5
id18	2817	529	1002	1878	4220	367	5882	1861	757
id180	5.988023952	5.389221557	5.988023952	13.17365269	2.395209581	4.191616766	8.982035928	9.580838323	11.37724551
id181	7	5	4	0	3.5	0	1.5	6	0
id182	1.5	2	16.5	13	25	17	9	14.98290598	1
id183	1.75	0	0	0	0	0	0	0	0
id184	657	79.5	179	486.5	114.5	76.5	21.5	25	20.5
id185	404	93.4375	145.25	252.1875	154	152.0625	66.3125	92.8125	96.9375
id186	138.4615385	30.76923077	47.00854701	79.48717949	39.31623931	49.57264957	17.0940171	13.67521368	0
id187	35	15.5	14	22.5	23.5	28.5	23	16	0
id188	12.91666667	5.416666667	5	5	10.41666667	9.166666667	25	38.33333333	25
id189	5.833333333	6.25	5	5.416666667	10	14.16666667	9.166666666	19.16666666	0
id19	2628	8	49	6	46	303	2857	10176	25304
id190	13	3.5	5	1.5	1.5	4	4.5	5	0
id191	45	84	176.5	133.5	120.5	158	141	48	72
id192	16	2.5	12.5	2	4	9.5	8	13.5	20
id193	0	0	0	0	0.5	0.5	2.5	0	2.5
id194	69.23076923	15.38461538	23.07692308	38.46153846	25.64102564	29.91452991	13.67521368	14.52991453	3.418803419
